content,rating,processed_review
"Wangi paling cocok buat aku Segernya Soft dan awet banget pke ini seharian Dapet tester OSTARA juga Makasih seller Pengiriman emang agak lama dikit sih , tapi its okay lah",5,wangi paling cocok buat aku soft dan awet banget pke ini hari dapet tester ostara juga makasih seller kirim emang agak lama dikit sih tapi its okay lah
"wanginya enak sweet gitu, tahan lama juga cuman kurang kecium aja, masih aman kok yang suka wangi sweet feminim cocok banget nih",5,enak sweet gitu tahan lama juga cuman kurang cium aja masih aman kok yang suka wangi sweet feminim cocok banget nih
kemasan luar agak penyok tapi terlindung bagian dalam. mantap packing aman. semoga isinya juga baik. terimakasih 🙏🏻dapat bonus juga,4,kemas luar agak penyok tapi lindung bagi dalam mantap packing aman moga juga baik terimakasih foldedhandslightskintone dapat bonus juga
"Wanginya sesuai selera saya, lembut, mirip Bulgari Jasmine, cuma ga kuat seharian harumnya.. hanya setengah hari.. dan perlu disemprot rada banyak kalo mau tetep wangi seharian...sesuai harga lah",5,sesuai selera saya lembut mirip bulgari jasmine cuma ga kuat hari tengah hari dan perlu semprot rada banyak kalo mau tetep wangi hari sesuai harga lah
aroma seger mawarnya enak banget cocok dipakai daily dan buat ngantor,5,aroma seger enak banget cocok pakai daily dan buat ngantor
"pesan kemarin hari ini sampai, cepet banget, gak bs di cobain karena buat kado tp semoga enak wangi nya",5,pesan kemarin hari ini sampai cepet banget gak bs di cobain karena buat kado tp moga enak wangi
"Suka banget sama wanginya, soft tapi berkesan banget, di tambah kemasannya mewah banget. terus dpaat sample yang wangi juga. Next mau order wangi yang di sample. Thank you Saff & Co",5,suka banget sama soft tapi kesan banget di tambah mewah banget terus dpaat sample yang wangi juga next mau order wangi yang di sample thank you saff co
Paket diterima dalam kondisi baik. Blind buy produk ini karena penasaran wanginya dan overall aku suka! Terima kasih juga untuk decant Troupe nya! Produk masih tersegel dan packagingnya secantik itu dan berkonsep. Semoga nanti bisa repurchase lagi kalau ini awet wanginya 🙂,5,paket terima dalam kondisi baik blind buy produk ini karena penasaran dan overall aku suka terima kasih juga untuk decant troupe produk masih segel dan cantik itu dan konsep moga nanti bisa repurchase lagi kalau ini awet slightlysmilingface
"2nd repurchase , i like smells , cocok buat santai, daily, i love this product",5,nd repurchase i like smells cocok buat santai daily i love this product
Wanginya suka banget... lembut seperti Jasmine... cuma kurang tahan lama jadi mesti semprot yang banyak kalau mau tahan lebih lama,5,suka banget lembut seperti jasmine cuma kurang tahan lama jadi mesti semprot yang banyak kalau mau tahan lebih lama
Beli ini atas rekomendasi teman. Wanginya cocok. Good Seller dapat bonus,5,beli ini atas rekomendasi teman cocok good seller dapat bonus
produk dipacking dengan baik. ga ada kebocoran. wanginya juga aku suka karena udh nge sniff duluan di offline store hahaha,5,produk dipacking dengan baik ga ada bocor juga aku suka karena udh nge sniff duluan di offline store hahaha
"Wanginya manis, soft dan tahan lama. Thank you",5,manis soft dan tahan lama thank you
Pengiriman cepat dan barang sesuai dengan yang ditawarkan.,5,kirim cepat dan barang sesuai dengan yang tawar
Wanginya soft n feminim gituuu. Suka bgt. Terus belinya pas diskon jadi makin happy dapat harga murah 🤭🥰,5,soft n feminim gituuu suka bgt terus pas diskon jadi makin happy dapat harga murah facewithhandovermouth smilingfacewithhearts
"loui wangi banget enakkk, liat dari testi katanya bunga banget kaya kunti, TAPI ENGGA kokkk wangi bunga tapi haluss seger gituuu. Dapet tester solaris jugaa mantapp",5,loui wangi banget enakkk liat dari testi bunga banget kaya kunti tapi engga kokkk wangi bunga tapi haluss seger gituuu dapet tester solar jugaa mantapp
"Packing bagus dan aman, untuk produknya awetnya wangi tahan lama, dapet bonusannya juga mantapss",5,packing bagus dan aman untuk wangi tahan lama dapet juga mantapss
"hal pertama yang aku notice adalh WAW packagingnya mevvvah banget coiii✨✨✨ rapii, aman dan sampenya cepettt banget. wangi jugaa kesukaan akuu mantappp terima kasihh saff n co",5,hal pertama yang aku notice adalh waw mevvvah banget coiii sparkles sparkles sparkles rapi aman dan cepettt banget wangi jugaa suka akuu mantappp terima kasihh saff n co
"Packingnya lucu bangett, pengiriman cepet ❤️‍🔥❤️‍🔥 free tester jugaa🙏🏻🙏🏻🙏🏻",5,lucu bangett kirim cepet heartonfire heartonfire free tester jugaa foldedhandslightskintone foldedhandslightskintone foldedhandslightskintone
