content,rating,processed_review
"awalnya pas di spray ada wangi segernya gt, lama2 wanginya sweet tapi bukan yg bikin enek gt sweet2 feminine, ketahanan wanginya ok, packaging juara✨",5,pas di spray ada wangi gt lama sweet tapi bukan yg bikin enek gt sweet feminine tahan ok packaging juara sparkles
"Wanginya enak, kalem, bikin tenang, cocok buat orang tipe calm",5,enak kalem bikin tenang cocok buat orang tipe calm
"Akhirnya sampai juga, tidak ada cacat pada brang dan wanginya pas 🎉",5,sampai juga tidak ada cacat pada brang dan pas partypopper
akhirnya kesampaian juga punya orgsm. senang banget kotaknya sangat aman. bukan kaleng-kaleng deh. aromanya juga enak. semoga awet di kulit.,5,sampai juga orgsm senang banget sangat aman bukan kalengkaleng deh juga enak moga awet di kulit
"akhirnya kebeli juga parfume ini, udah pengen dari lama, wangi banget, manis kayak teh gitu, pokoknya suka wanginya. lumayan tahan lama.",5,kebel juga parfume ini udah ken dari lama wangi banget manis kayak teh gitu suka lumayan tahan lama
"Suka bgt wanginya.. Belum tau sih tahan berapa lama kalau dipakai, cuma jatuh cinta bgt aama wanginya. kemasanny elegan bgt!",5,suka bgt belum tau sih tahan berapa lama kalau pakai cuma jatuh cinta bgt aama kemasanny elegan bgt
wanginya enak banget. istri suka banget pake ini.,5,enak banget istri suka banget pake ini
produk diterima dalam keadaan baik aman dan packing nya rapi respon penjualny baik dan terimakasih atas pelayanan nyaaa ini,5,produk terima dalam ada baik aman dan packing rapi respon penjualny baik dan terimakasih atas layan nyaaa ini
"Bau nya seger gitu, packing aman, ada dikasih bonus aroma yang berbeda dan juga botol kosong untuk traveling",5,bau seger gitu packing aman ada kasih bonus aroma yang beda dan juga botol kosong untuk traveling
I LOVE THIS PARFUME SO MUCH!!!!! akhirnya bisa kebeli yang fullsize nya hehe :3,5,i love this parfume so much bisa kebel yang fullsize hehe
wanginya enak cuma kok tutupnya agak bocor yaa,5,enak cuma kok agak bocor yaa
"Packaging aman, barang sampai dgn baik. Wanginya manis, enak. Lumayan tahan lama. Thx",4,packaging aman barang sampai dgn baik manis enak lumayan tahan lama thx
"packing aman, pengiriman cepat, respon mantap",5,packing aman kirim cepat respon mantap
"wangi banget, pengiriman cepet banget",5,wangi banget kirim cepet banget
"Pass saya lagi sendok es ke mulutttt cuuuttttt...... Itu ngilunya saya bener bener langsung kehilangan momen bersama teman teman saya,disitu akhirnya saya beralih ke sensodent ,sekarang kata temen temen eh rin makanya pelan pelan dong kita belum kebagian nih",5,pass saya lagi sendok es ke mulutttt cuuuttttt itu saya bener bener langsung hilang momen sama teman teman saya situ saya alih ke sensodent sekarang kata temen temen eh rin pelan pelan dong kita belum bagi nih
"Barang yang dikirim sesuai dengan pesanan, terimakasih seller",5,barang yang kirim sesuai dengan pesan terimakasih seller
"Pertama kali beli HMNS. KAGET WKWKK Bungkusnya waow bangeetttt. Super duper keren sekali. Baunya? Jangan ditanya wkwk Saya rasa buat pemula sepertiku, jangan ragu memilih HMNS ORGSM. Tidak mengecewakan",5,pertama kali beli hmns kaget wkwkk waow bangeetttt super duper keren sekali jangan wkwk saya rasa buat mula seperti jangan ragu pilih hmns orgsm tidak kecewa
"yeay repurchase lagi parfum ini, botolnya beda ya. prfum yg wangii banget sampe banyak yg nanyain pake parfum apa, nyebar bgt baunya. beli pas ada diskon, thanks seller",5,yeay repurchase lagi parfum ini beda ya prfum yg wangi banget sampe banyak yg nanyain pake parfum apa nyebar bgt beli pas ada diskon thanks seller
"pertama kali beli hnms karna liat salah 1 enterpeneur fav aku, jd aku lgsg cusss beli ahahhaaha dan pas kemarin pesen lagi dapet free an 🤍",5,pertama kali beli hnms karna liat salah enterpeneur fav aku jd aku lgsg cusss beli ahahhaaha dan pas kemarin sen lagi dapet free an whiteheart
Beli parfum hmns di jamin nggk ngecewain. Parfum tahan lama didalam baik diluar.,5,beli parfum hmns di jamin nggk ngecewain parfum tahan lama dalam baik luar
Awalnya nyoba beli trial size nya dulu yg 10ml ehhh ternyata cocok bgt sama wanginyA✨💓💓 enakk bgt wangi vanilla manis seger gituu🤩💓,5,nyoba beli trial size dulu yg ml ehhh nyata cocok bgt sama sparkles beatingheart beatingheart enakk bgt wangi vanilla manis seger gituu starstruck beatingheart
Sebagai orang yang melakukan blind buy.. Pembelian pertama ku ini bisa dibilang sukses karena wanginya cocok di hidung ku 👍🏼,4,bagai orang yang laku blind buy beli pertama ku ini bisa bilang sukses karena cocok di hidung ku thumbsupmediumlightskintone
Wanginya suka bangeddddddd. Jujur lebih suka ini dari yg darker share,5,suka bangeddddddd jujur lebih suka ini dari yg darker share
"lagi cari2 local perfume, ok ini worth to buy!👍🏻",5,lagi cari local perfume ok ini worth to buy thumbsuplightskintone
"nangisss hmns sesuai ekspektasi aku bangettt. this is me, orgsm is me! and also unboxing yg satisfying dan mengasyikkan! luph hmns banyak banyak 😭🫶🏻🫶🏻🫶🏻",5,nangisss hmns sesuai ekspektasi aku bangettt this is me orgsm is me and also unboxing yg satisfying dan asyik luph hmns banyak banyak loudlycryingface hearthandslightskintone hearthandslightskintone hearthandslightskintone
"pesanan sesuai, cepat, kayanya dapet bonus tapi remuk. harusnya packaging bisa pakai bubble wrap, mau dibikin seneng malah bikin kecewa. mau komplen tapi barang bonus 🙃",4,pesan sesuai cepat dapet bonus tapi remuk packaging bisa pakai bubble wrap mau bikin neng malah bikin kecewa mau komplen tapi barang bonus upsidedownface
"Produk asli lokal, kualitas sangat bagus, dan pasti wanginya enak. Dapat bonus juga hehe.",5,produk asli lokal kualitas sangat bagus dan pasti enak dapat bonus juga hehe
"awalnya ragu mau beli apa enggak. soalnya kan gabisa dicoba dulu baunya gimana. ternyata emang enak banget baunya. di awal bau seger buah, trus jadi manis. tapi manisnya calm gitu. gak yang overpowering. enak banget pokoknya",5,ragu mau beli apa enggak kan gabisa coba dulu gimana nyata emang enak banget di awal bau seger buah trus jadi manis tapi calm gitu gak yang overpowering enak banget
As always. Rapih dan elegan. Kalau masalah kualitas aromanya jangan ditanya lagi. Terbaik. Tapi sayang testerny ga ada sekarang. Biasanya dapat tester botol kecil. Lumayan tuh bisa buat saya bawa kemana2 hehe,5,as always rapih dan elegan kalau masalah kualitas jangan lagi baik tapi sayang testerny ga ada sekarang dapat tester botol kecil lumayan tuh bisa buat saya bawa mana hehe
"toko fast respon n sangat ramah, proses dari order sampai kirim ke kurir sangat cepat, estimasi pengiriman sesuai, packing paket sangat aman dan barang diterima dengan baik.. suka dengan produk nya, sesuai dengan deskripsi..",5,toko fast respon n sangat ramah proses dari order sampai kirim ke kurir sangat cepat estimasi kirim sesuai packing paket sangat aman dan barang terima dengan baik suka dengan produk sesuai dengan deskripsi
"saya mau kritik sdikit, terkait quality control lebih ditingkatkan, terkait packing pengiriman malah mengalami penurunan ga dibubble wrap ( dulu luar dalam ), tp admin wa baik, minta maaf, langsung kasih solusi utk retur dan ganti baru ( appreciate it ), tp buat saya cukup merepotkan ( packing, kirim2 ), kedepannya smoga bisa ditingkatkan lagi, biar kita ga harus sama repot2 karena quality control ga maksimal 👍",4,saya mau kritik sdikit kait quality control lebih tingkat kait packing kirim malah alami turun ga dibubble wrap dulu luar dalam tp admin wa baik minta maaf langsung kasih solusi utk retur dan ganti baru appreciate it tp buat saya cukup repot packing kirim smoga bisa tingkat lagi biar kita ga harus sama repot karena quality control ga maksimal thumbsup
"Real fast delivery, packagingnya bagus walaupun simple tapi very sturdy jadi ngga khawatir parfum rusak ketika dikirim. Wanginya juga pas banget untuk yang suka manis2 tapi ngga terlalu overstated. Overall really happy with the quality of the product.",5,real fast delivery bagus walaupun simple tapi very sturdy jadi ngga khawatir parfum rusak ketika kirim juga pas banget untuk yang suka manis tapi ngga terlalu overstated overall really happy with the quality of the product
"parfum yang lagi hype banget bikin penasaran. aromanya manis banget, sebenernya kurang pas kalo buat siang. tapi tahan lama banget wanginya, dan ngga bikin eneg. dapet free scent of a woman juga. thankyouuu",5,parfum yang lagi hype banget bikin penasaran manis banget kurang pas kalo buat siang tapi tahan lama banget dan ngga bikin eneg dapet free scent of a woman juga thankyouuu
