content,rating,processed_review
barang dikirim sesuai pesanan dan deskripsi. respon penjual baik dan cepat. dapat harga murah pas 11.11 packing aman dengan dus tebal gumawo kak,5,barang kirim sesuai pesan dan deskripsi respon jual baik dan cepat dapat harga murah pas packing aman dengan dus tebal gumawo kak
"Dus paket udah kayak pesen promo Geprek dari SAFF and Co.. isi partum untung kagak ngaruh.. yg bikin beli dan beli cuma 1 alasan, wanginya enak.. itu aja, kalo soal lainnya biasa aja, bahkan respon seller cenderung lama, lemot, dan terkesan acuh sm komplain konsumen",4,dus paket udah kayak sen promo geprek dari saff and co isi partum untung kagak ngaruh yg bikin beli dan beli cuma alas enak itu aja kalo soal biasa aja bahkan respon seller cenderung lama lot dan kes acuh sm komplain konsumen
"Produk ini luar biasa! Desainnya modern dan praktis, cocok untuk penggunaan sehari-hari. Kualitas materialnya sangat terasa kokoh dan awet, sehingga memberikan nilai lebih bagi harga yang ditawarkan. Selain itu, produk ini juga mudah digunakan, dengan fitur yang intuitif dan fungsional. Sungguh pilihan tepat! Beli Yuk gais!!!!!!!!",5,produk ini luar biasa modern dan praktis cocok untuk guna seharihari kualitas sangat asa kokoh dan awet sehingga beri nilai lebih bagi harga yang tawar selain itu produk ini juga mudah guna dengan fitur yang intuitif dan fungsional sungguh pilih tepat beli yuk gais
"Awalnya coba ini yg versi mininya, ehh naksir dan suka sama wanginya. Feminim sekaliii, dapat free wangi lainnya juga. Packaging super aman❤️",5,coba ini yg versi ehh naksir dan suka sama feminim sekaliii dapat free wangi juga packaging super aman redheart
"tahan lama poll sotb bukan kaleng kaleng,bonus parfum illad tapi bocor",5,tahan lama poll sotb bukan kaleng kaleng bonus parfum illad tapi bocor
wanginya tahan lama pengiriman jg cepet sampek beruntungnya lagi dpt harga promo dari toko pedia. dikasih bonus tester 👍,5,tahan lama kirim jg cepet sampek lagi dpt harga promo dari toko dia kasih bonus tester thumbsup
"Jasa Pengiriman yg buruk sekali, kardus diterima dlm keadaan jebol & rusak, untung kardusnya besar, wlpn ga pake bubblewarp tp terlindungi dan tdk pecah, btw dikasih bonus kemasan super mini, trmksh..",5,jasa kirim yg buruk sekali kardus terima dlm ada jebol rusak untung besar wlpn ga pake bubblewarp tp lindung dan tdk pecah btw kasih bonus kemas super mini trmksh
"beli tanpa coba langsung, ternyata aku gak suka wanginya. wangi tahan gak smp setengah hari (dipakai indoor outdoor). bagi yang suka wangi powdery fresh, bukan SOTB (krn wangi itu sangat personal ya). overall pengiriman aman dan ontime, packing baik,",5,beli tanpa coba langsung nyata aku gak suka wangi tahan gak smp tengah hari pakai indoor outdoor bagi yang suka wangi powdery fresh bukan sotb krn wangi itu sangat personal ya overall kirim aman dan ontime packing baik
"Terimkasih saff & tokopedia buat promo 10 ribu nya,keren banget masih di kasih vial parfum varian lain juga,packaging nya ok mewah, wangi aroma nya suka ga gampang ilang.",5,terimkasih saff tokopedia buat promo ribu keren banget masih di kasih vial parfum varian lain juga packaging ok mewah wangi aroma suka ga gampang ilang
"Suka banget sama wanginya sotb, packaging nya juga cakep banget, exclusive. Plus dikasih sampel chno, makasih. chno juga enak si, dia wangi vanilla nya lebih kerasa dan kayak lebih cocok buat cowok.",5,suka banget sama sotb packaging juga cakep banget exclusive plus kasih sampel chno makasih chno juga enak si dia wangi vanilla lebih rasa dan kayak lebih cocok buat cowok
