content,rating,processed_review
waw.. Amaze bangett .. di keterangannya PO 30 hari gak tau nya 2 hari udah sampai. yang gak di sangka nya lagi ternyata kayak parfum mahal dan box nya bagus banget. di tambah dapat sample yang isi nya banyak . thank you mykonos 🤗🤗,5,waw amaze bangett di po hari gak tau hari udah sampai yang gak di sangka lagi nyata kayak parfum mahal dan box bagus banget di tambah dapat sample yang isi banyak thank you mykonos smilingfacewithopenhands smilingfacewithopenhands
"Suka banget sama wanginya, dapat bonus vanili cloud… wanginya jg soft2 Pokoknya Mykonos paling jago parfummm.. ttp terus berlangganan sm mykonos…. Untuk pengiriman cepat sampai, baru CO 2 hari lalu, parfumnya sdh sampai hari ini.. wah makasih banyak🥹🥹",5,suka banget sama dapat bonus vanili cloud jg soft mykonos paling jago parfummm ttp terus langgan sm mykonos untuk kirim cepat sampai baru co hari lalu sdh sampai hari ini wah makasih banyak faceholdingbacktears faceholdingbacktears
"pengemasan bagus berlapis2 buble wrap, harum bahkan blm dibuka boxnya, semoga cocok wanginya. plus dpt bonus tester sparkling rose. thx",5,emas bagus lap buble wrap harum bahkan blm buka moga cocok plus dpt bonus tester sparkling rose thx
"Beli krn suka desain botolnya yg lucu. Pertama beli, coba yg aphrodite. Satu semprotan dikit aja wanginya kemana2. Manis2 rempah gitu, awalnya kurang cocok krn strong banget. Tapi bbrp menit kemudian, wanginya cenderung manis. Semoga wanginya awet. Dapat free sample yg Pistaschio. Malah aku suka wangi pistaschio. Next buying mau yg pistaschio aja.",5,beli krn suka desain yg lucu pertama beli coba yg aphrodite satu semprot dikit aja mana manis rempah gitu kurang cocok krn strong banget tapi bbrp menit kemudian cenderung manis moga awet dapat free sample yg pistaschio malah aku suka wangi pistaschio next buying mau yg pistaschio aja
"Wanginya kyk ada bau2 tembakau nya campur wangi manis2 biskuit. Kardusnya di plastikin satu2,udah kyk parfum luar. Dapet tester juga,tpi sayang jenis nya yg sdh punya. Cuma packing u/ pengirimannya aja yg menurutQ kurang. Mungkin bisa dipertimbangkan dikasi kardus kalo beli nya byk, gak cuma dibuntel aja. Biar lebih aman",5,kyk ada bau tembakau campur wangi manis biskuit di plastikin satu udah kyk parfum luar dapet tester juga tpi sayang jenis yg sdh cuma packing u aja yg menurutq kurang mungkin bisa timbang kasi kardus kalo beli byk gak cuma buntel aja biar lebih aman
"emang suka banget sama wangi parfum ini! sukak banget sama wanginya, cuma sayangnya tutupnya ga begitu rapat dan hiasannya patah🥲",5,emang suka banget sama wangi parfum ini sukak banget sama cuma ga begitu rapat dan patah smilingfacewithtear
"pertama dari respon admin yang cepat dan ramah dan juga untuk keamanan packagingnya oke banget buble wrap tebal dan dus kotak gede kedua PACKAGING PARFUMNYA SENDIRI WOW !!! keren banget kacau si !!!! kalo untuk wanginya juga aku suka sweet, woody, ada hint fresh juga mantap deh !!!",5,pertama dari respon admin yang cepat dan ramah dan juga untuk aman oke banget buble wrap tebal dan dus kotak gede dua packaging sendiri wow keren banget kacau si kalo untuk juga aku suka sweet woody ada hint fresh juga mantap deh
"Tru definition of love at the first smell. nyobain parfum ini waktu acara jakarta female beauty, ternyata kepikiran kalau ngga di-checkout. Dapet tester senja yg ternyata baunya aku bgt, fix masuk ke troli! Kurangnya cuma satu, botolnya agak bocor pas diterima but its ok.",5,tru definition of love at the first smell nyobain parfum ini waktu acara jakarta female beauty nyata pikir kalau ngga dicheckout dapet tester senja yg nyata aku bgt fix masuk ke troli cuma satu agak bocor pas terima but its ok
"gila mantep banget, wangi mahal dan se enak itu packaginya bagus, no bocor² mantap",5,gila mantep banget wangi mahal dan se enak itu bagus no bocor mantap
"Alhamdulillah pengiriman nya normal ya, packaging aman barang insyaallah bagus, wanginya lama-lama enak juga",5,alhamdulillah kirim normal ya packaging aman barang insyaallah bagus lamalama enak juga
