content,rating,processed_review
"wah gila wanginya keren banget, awal nyium kek maskulin banget tapi pas udah lama dipake jadi sweet smoky powdery yg waw, type parfum yg awet banget menurut gue, sooo gooddd",5,wah gila keren banget awal nyium kek maskulin banget tapi pas udah lama dipake jadi sweet smoky powdery yg waw type parfum yg awet banget turut gue sooo gooddd
"Pengirimannya cepat, respon penjual juga cepat, terbaik lah pokoknya. Btw semangat buat miminnya yg super sibuk ngurus orderan. Kalo buat wanginya oke lah yaa, di kulit gua top notesnya strong banget buat aroma rempahnya, middlenya baru keluar deh aroma manis vanillanya",5,cepat respon jual juga cepat baik lah btw semangat buat yg super sibuk ngurus order kalo buat oke lah yaa di kulit gua top strong banget buat aroma baru keluar deh aroma manis
"harum kaya marshmallow manis , dapet botol kecil nya juga tpi pas pengiriman kardusnya bolong njir tpi gapapa lah yg penting botol nya aman",5,harum kaya marshmallow manis dapet botol kecil juga tpi pas kirim bolong njir tpi gapapa lah yg penting botol aman
"Trust me,this smell exactly like v&k sp1cebomb with smokier dry down & bolder spices.Much more caramelistic compared to v&k,but it doesnt project like v&k does,harganya beda jauhh masse.Yes,it is very oily (jgn dipake dipakaian putih).Tend to be male-unisex,kecium maskulin bgt.Bisa dibilang ini versi elixirnya sp1cebomb,benar benar se bold itu,btw gw udah sniff edt sama yg edp juga.Dann jugaa mirip bgt sama MM bythefireplace",5,trust me this smell exactly like vk spcebomb with smokier dry down bolder spicesmuch more caramelistic compared to vk but it doesnt project like vk does beda jauhh masseyes it is very oily jgn dipake pakai putihtend to be maleunisex cium maskulin bgtbisa bilang ini versi spcebomb benar benar se bold itu btw gw udah sniff edt sama yg edp jugadann jugaa mirip bgt sama mm bythefireplace
"kualitas g diragukan, wanginya di aku pertama kali semprot tajam banget terus spicy, kemasan juga mantep aman",5,kualitas g ragu di aku pertama kali semprot tajam banget terus spicy kemas juga mantep aman
"Paket diterima dengan aman, pemakaian pertama aromanya sesuai deskripsi, aroma2 api unggun plus vanilla untuk pemanis, unik juga. Belum tau ketahanan berapa lama",5,paket terima dengan aman pakai pertama sesuai deskripsi aroma api unggun plus vanilla untuk man unik juga belum tau tahan berapa lama
produk sesuai. packaging aman. botol cakep. wangi vanillanya enak bgt bak penyihir yg siap meluluhkan 100 wanita 🪄🧙🏻‍♂️🔮,5,produk sesuai packaging aman botol cakep wangi enak bgt bak sihir yg siap luluh wanita magicwand manmagelightskintone crystalball
"Pengiriman cepat, sangat puas sekali.. untuk wanginya sama seprti di deskripsi wangi kayu dibakar namun terakhir ada aroma vanilanya.. unik sih, tinggal tes longevitynya .. goodjob mykonos 👍🏻",5,kirim cepat sangat puas sekali untuk sama seprti di deskripsi wangi kayu bakar namun akhir ada aroma unik sih tinggal tes goodjob mykonos thumbsuplightskintone
"Packaging aman banget, lengkap dengan data ingredients dan tgl pembuatan. Overall bukan kualitas premium tp utk isinya sih,gokil..saya akui aromanya super bgt..kenceng dan tahan lama padahal baru 1x semprot. Sayangnya aroma ini sangat amat manis vanilla atau kayu manis, bener-bener ga cocok utk pria kcuali agak ngondek ya. Itu bagian IG bilang masuk top three yg bisa utk cowo tp gw rasa pengkategoriannya salah banget. HANYA COCOK UNTUK PEREMPUAN!",3,packaging aman banget lengkap dengan data ingredients dan tgl buat overall bukan kualitas premium tp utk sih gokilsaya aku super bgtkenceng dan tahan lama padahal baru x semprot aroma ini sangat amat manis vanilla atau kayu manis benerbener ga cocok utk pria kcuali agak ngondek ya itu bagi ig bilang masuk top three yg bisa utk cowo tp gw rasa salah banget cocok untuk perempuan
"mykonos bonfire vanilla ini wanginya enak banget smoky warm gituu, kirain PO bakal lama nihh nyampenya taunya cepet banget. good job lahh buat seller🙌😉",5,mykonos bonfire vanilla ini enak banget smoky warm gituu kirain po bakal lama nihh cepet banget good job lahh buat seller raisinghands winkingface
