content,rating,processed_review
"Wanginya berkelas, dipakai outdoor cocok sekali. Cuma harus sabar-sabar menunggu PO nya. Semoga kedepannya ga PO PO an lagi",5,kelas pakai outdoor cocok sekali cuma harus sabarsabar tunggu po moga ga po po an lagi
"paket sampai dengan aman sesuai deskripsi terimakasih yaaa,...",5,paket sampai dengan aman sesuai deskripsi terimakasih yaaa
"Pengiriman termasuk cepat. Admin juga mengusahakan segera dikirim. Admin responsif. Utk wangi nya tipe segar dan fresh tapi tidak terlalu menusuk hidung, cocok dipake pagi / siang. Utk SPL (menurut pribadi) tergolong medium-low sekitar 4-5 jam di ruangan ber AC dg radius sekitar 0,5-1 meter dan cukup mumpuni utk menutup bau apek dan keringat yg lumayan banyak ini. Ohya dapat bonus sample parfum varian Pistachio yg khusus buat cewek.",5,kirim masuk cepat admin juga usaha segera kirim admin responsif utk wangi tipe segar dan fresh tapi tidak terlalu tusuk hidung cocok dipake pagi siang utk spl turut pribadi golong mediumlow sekitar jam di ruang ber ac dg radius sekitar meter dan cukup mumpuni utk tutup bau apek dan keringat yg lumayan banyak ini ohya dapat bonus sample parfum varian pistachio yg khusus buat cewek
packing an sangat aman bubble wrap 5 lapis kurang lebih lalu di kasih plastik lagi di box nya. dus parfum nya juga sangat bagus dan wangi nya sesuai harapan,5,packing an sangat aman bubble wrap lapis kurang lebih lalu di kasih plastik lagi di box dus parfum juga sangat bagus dan wangi sesuai harap
"Pengiriman 2 hari, packaging paketnya bagus. Abis dipake bbrp hari nanti update lagi penilaiannya",5,kirim hari packaging bagus abis dipake bbrp hari nanti update lagi
"ini segar enak wangi nya, serasa baru mandi di siang bolong. enaaakk fresh menyegarkan.... gak salah sih pilih myokonos sejak awal nyoba beli yg matcha latte, dan nyobain yg ini juga enak enak wangi nya.. harga sesuai kualitas.",5,ini segar enak wangi serasa baru mandi di siang bolong enaaakk fresh segar gak salah sih pilih myokonos sejak awal nyoba beli yg matcha latte dan nyobain yg ini juga enak enak wangi harga sesuai kualitas
po lama memang tidsk mengecewakan + dapet decent pink drop tapi terlalu creamy aromanya,5,po lama memang tidsk kecewa dapet decent pink drop tapi terlalu creamy
mantap pengiriman cepat. dpt bonus 3.5 ml mykonos vanilla clouds juga 🤩,5,mantap kirim cepat dpt bonus ml mykonos vanilla clouds juga starstruck
"PEMBOHONG!! 1. katanya gadapet tester! ehh ternyata dapet 😁 2. Katanya PO 30 hari, ehh tunya 2 hari udah dikirim 😁 wahh keren nihh tim Mykonos! sukses terus yaa. suka deh seller baik gini ❤",5,bohong gadapet tester ehh nyata dapet beamingfacewithsmilingeyes po hari ehh hari udah kirim beamingfacewithsmilingeyes wahh keren nihh tim mykonos sukses terus yaa suka deh seller baik gin redheart
"meskipun bisa dibilang blind buy tapi gak nyesel sih enak banget dehhh, wajib dibeli terus ini mah😋",5,meski bisa bilang blind buy tapi gak nyesel sih enak banget dehhh wajib beli terus ini mah facesavoringfood
"Kata mimin estimasi po nya 10 hari, tpi trnyata 3 hari dah dtengg ni wah kece bgt, dpt tester ivoryyyy",5,kata mimin estimasi po hari tpi trnyata hari dah dtengg ni wah kece bgt dpt tester ivoryyyy
"Parfum kedua mykonos, yg california seger bgt enak buat siang siang",5,parfum dua mykonos yg california seger bgt enak buat siang siang
"gila wanginya beneran enak bgt, fresh citrus tp gak bikin enek. cocok bgt dipake siang hari karena wanginya gak ganggu sama sekali. kl kecampur sama keringat, wanginya makin enak",5,gila beneran enak bgt fresh citrus tp gak bikin enek cocok bgt dipake siang hari karena gak ganggu sama sekali kl campur sama keringat makin enak
"wangi enak, packaging ok, botol tebal dan sprayernya bagus..untuk keawetan agak kurang",4,wangi enak packaging ok botol tebal dan bagusuntuk awet agak kurang
"wanginya seger dan enak tinggal test ketahanannya, cuman bagusnya untuk ke baju karena kalo ke kulit bikin panas",5,seger dan enak tinggal test cuman untuk ke baju karena kalo ke kulit bikin panas
"Base wangi nya enak tapi terlalu tajam buat saya. Tajam di top nya aja, middle ama base nya enak. Mungkin lebih cocok dipakai siang, untuk malam terlalu nendang bau nya.",5,base wangi enak tapi terlalu tajam buat saya tajam di top aja middle ama base enak mungkin lebih cocok pakai siang untuk malam terlalu nendang bau
"Imho ini parfum all rounder, siang oke, malem bisa. Sweet but not to sweet, aromatic yg masuk di hidung. Ada wangi2 ysl la nuit nya tp sekilas, wicis i love that scent. But longevity cukup ya, ga terlalu buas. Overall this is a must repeat order.",5,imho ini parfum all rounder siang oke malem bisa sweet but not to sweet aromatic yg masuk di hidung ada wangi ysl la nuit tp kilas wicis i love that scent but longevity cukup ya ga terlalu buas overall this is a must repeat order
"baunya enak, botolnya kokoh. tapi kok gadapet free vialnya si? padahal ini peratama kali coba mykonos berharap dapet free vial yang lain, karena teratarik buat mulai explore brand ini.. tapi yaudahlah yaa 😌",5,enak kokoh tapi kok gadapet free si padahal ini peratama kali coba mykonos harap dapet free vial yang lain karena teratarik buat mulai explore brand ini tapi yaudahlah yaa relievedface
"AAARRGGHHH!! WANGINYA UUUU JUARAAAKK, ENAK BANGET TUHAANNN.. SELALU, SELALU DAN SELALU TIDAK PERNAH GAGAL PARFUM MYKONOS TUH. ARGHH GEREGETAN SENDIRI🥰🥰🥰 PARAHNYA LAGIII DAPET TESTER BCP.... WAAAHHHH NGERI LANGSUNG DETIK ITU JUGA JATUH CINTA!!! KU HARUS IKUTAN WAR NANTI BAGAIMANAPUN CARANYA HARUS DAPEETT. TITIK!!!!",5,aaarrgghhh uuuu juaraaakk enak banget tuhaannn selalu selalu dan selalu tidak pernah gagal parfum mykonos tuh arghh gereget sendiri smilingfacewithhearts smilingfacewithhearts smilingfacewithhearts lagiii dapet tester bcp waaahhhh ngeri langsung detik itu juga jatuh cinta ku harus ikut war nanti bagaimana harus dapeett titik
"Baunya enak dan awet, dipuji wanginya enak sama cewe 😎",5,enak dan awet puji enak sama cewe smilingfacewithsunglasses
"upgradenya mantap dari segi sillage dan projection, untuk longevity belum tau karena belum full wear. aromanya msh sama dengan yg dulu tapi di openingnya lebih lemon di hidungku, lavendernya jg lebih keluar, enak bgt ini untuk dipake panas panasan. cocok!",5,mantap dari segi sillage dan projection untuk longevity belum tau karena belum full wear msh sama dengan yg dulu tapi di lebih lemon di hidung jg lebih keluar enak bgt ini untuk dipake panas panas cocok
Baunya seperti sabun tapi tetep enak dan tahan lama banget. Cocok dipakai daily,5,seperti sabun tapi tetep enak dan tahan lama banget cocok pakai daily
GATAU UDA PARFUM KE BERAPA DARI MYKONOS. Lagi nunggu si stileto sama berty pancake nih. Thankyou minkoo…,5,gatau uda parfum ke berapa dari mykonos lagi nunggu si stileto sama berty pancake nih thankyou minkoo
"barang sampai dengan selamat, packing aman + rapih, mantap bgt dah",5,barang sampai dengan selamat packing aman rapih mantap bgt dah
"gk sia2 nunggu PO berhari-hari, wangi walau awal kayak bau sabun tpi lama2 enak juga wanginya... btw ini pembelian Produk Mykonos pertama gw. next pengen beli yg Bonfire penasaran gw wangi kayak gmna 👍",5,gk sia nunggu po berharihari wangi walau awal kayak bau sabun tpi lama enak juga btw ini beli produk mykonos pertama gw next ken beli yg bonfire penasaran gw wangi kayak gmna thumbsup
"wanginya seger bgt awal bau buah trus dominan aquaticnya, untuk parfum extrait beli di harga diskon worth to buy bgt sih, po sekitar 10 hari pengiriman cuman 2 hari lgsg sampe, dpt tester juga yg black opera",5,seger bgt awal bau buah trus dominan untuk parfum extrait beli di harga diskon worth to buy bgt sih po sekitar hari kirim cuman hari lgsg sampe dpt tester juga yg black opera
