content,rating,processed_review
"repurchase karena memang seenak itu wanginya, warm floral dan manis, enak banget dan wanginya juga tahan kurang lebih 5 jam an, kalau udah agak lama memang harus di sniff dulu baru kecium, tapi emang seenak ituu, thanks",5,repurchase karena memang enak itu warm floral dan manis enak banget dan juga tahan kurang lebih jam an kalau udah agak lama memang harus di sniff dulu baru cium tapi emang enak ituu thanks
"sempet panik, gue kira parfumenya bocor (foto 2) ternyata bukan itu kena air, harumnya pun sesuai dengan yang di harapkan, soft kalem unisex, parfume sebelumnya gue pake LABCITANE,KAHF,OUDS, ini jadi yang perdana menggunakan HMNS.",5,sempet panik gue kira bocor foto nyata bukan itu kena air pun sesuai dengan yang di harap soft kalem unisex parfume gue pake labcitane kahf ouds ini jadi yang perdana guna hmns
"wishlist beberapa bulan lalu akhirnya kebeli juga, kemaren nahan2 karna masih ada parfume. ini wanginya enak banget, soft ga yang nyegrak gitu udah gitu awet tahan lama. sesuka ituuuu😍🤩",5,wishlist beberapa bulan lalu kebel juga kemaren nahan karna masih ada parfume ini enak banget soft ga yang nyegrak gitu udah gitu awet tahan lama suka ituuuu smilingfacewithhearteyes starstruck
"Wah…ini sih emang gak boong ternyata review2 di YouTube. Emang beneran enak hahaha….udah punya cukup koleksi parfum, yg harganya di ttatas EoS…tapi ini worth it banget…bisa dilayer pula …packaging jg rapet aman betul pengiriman jg cepet banget haha can’t hope better than this…,hahaha thanks HMNS team, you don’t lie us😹",5,wah ini sih emang gak boong nyata review di youtube emang beneran enak hahaha udah cukup koleksi parfum yg di ttatas eos tapi ini worth it banget bisa layer pula packaging jg rapet aman betul kirim jg cepet banget haha cant hope better than this hahaha thanks hmns team you dont lie us catwithtearsofjoy
"wanginya lumayan awet yah untuk aktivitas dalam ruangan...bisa sampai 6jam masih kerasa tipis-tipis. tapi ada perbedaan aroma antara kemasan trial dengan yang ini, entah feeling aja atau memang yang kemasan trial lebih ena aromanya.",5,lumayan awet yah untuk aktivitas dalam ruang bisa sampai jam masih rasa tipistipis tapi ada beda aroma antara kemas trial dengan yang ini entah feeling aja atau memang yang kemas trial lebih ena
"Botol kokoh, semprotannya berasa premi, tutupnya ada magnetnya jdi rapet. Kemasannya elegan, baunya lembut seger di awal. Awet dan lama ninggal sweetnya. Good job, HMNS.",5,botol kokoh asa premi ada jdi rapet elegan lembut seger di awal awet dan lama ninggal good job hmns
finally my very first EOS EDP from HMNS. Dulu baru cobain vial aja dan suka banget sama wanginya! Akhirnya kesampean juga sekarang beli EDP 100ml. Tutupnya juga pakai magnet jadi aman banget. Dapet warranty card juga jadi bisa ke komplain ganti rugi kalau ada kerusakan. Good job HMNS! will definitely repurchase kebeneran dikasih voucher jugaa,5,finally my very first eos edp from hmns dulu baru cobain vial aja dan suka banget sama sampean juga sekarang beli edp ml juga pakai magnet jadi aman banget dapet warranty card juga jadi bisa ke komplain ganti rugi kalau ada rusa good job hmns will definitely repurchase kebeneran kasih voucher jugaa
"enak looh wanginyaa, beli buat dipake panas panasan. dulu sempat beli yg mini size nya. 8.8 co dehh heheheh udah 3, oh iyaa aku dapet bonus addict jgg, enak bgt wanginy. jadi kado buat suamiku dehhh",5,enak looh wanginyaa beli buat dipake panas panas dulu sempat beli yg mini size co dehh heheheh udah oh iyaa aku dapet bonus addict jgg enak bgt wanginy jadi kado buat suami dehhh
Ini baru re-purchase setelah sekian lama belum beli lagi. Sangat cocok dengan wangi dan kualitasnya. Apalagi jika diblend dengan eon,5,ini baru repurchase telah sekian lama belum beli lagi sangat cocok dengan wangi dan apalagi jika diblend dengan eon
"Wanginya soft, ga bikin pusing, packing aman, hmns terbaik👍🏻",5,soft ga bikin pusing packing aman hmns baik thumbsuplightskintone
"Mantap produk sampe dengan selamat selebihnya aman dan gaada masalah sama sekali pengiriman standar, barang original tentunya, barang sesuai pesanan sudah dicek barang kondisi dengan baik dan bagus",5,mantap produk sampe dengan selamat aman dan gaada masalah sama sekali kirim standar barang original barang sesuai pesan sudah cek barang kondisi dengan baik dan bagus
"review jujur: ga begitu suka parfum yg baunya manis tp ini msih enak sih buat gw. trus untuk tahan lamanya sekitar 4-5jam tp kalo disemprot ke pakaian lebih tahan lama. dan gatau knp ini masalah bahanya atau kulit gw, kalo si semprot ke area tekukan lengan sama leher rasanya panas dan ada ruam merah(tp ga parah dan bakal ilang rasa panasnya)",4,review jujur ga begitu suka parfum yg manis tp ini msih enak sih buat gw trus untuk tahan sekitar jam tp kalo semprot ke pakai lebih tahan lama dan gatau knp ini masalah atau kulit gw kalo si semprot ke area tekuk lengan sama leher panas dan ada ruam merahtp ga parah dan bakal ilang rasa
"Packing nya oke banget ada boxnya juga, wanginya enak ga bikin eneg. Kemarin coba yang testi ukuran kecil ketagihan dong akhirnya beli yang ini sekalian. Terimakasih HMNS next bakal order lagi 🤍",5,packing oke banget ada juga enak ga bikin eneg kemarin coba yang testi ukur kecil tagih dong beli yang ini sekali terimakasih hmns next bakal order lagi whiteheart
Wow setelah sekian lama pingin punya eos. Akhirnya punya juga 🥹🥰 cakep amat ya. Makasih ya mimin barang udah sampe. Wanginya sesuai harapan. Ketahanannya belum aku coba si. Tapi semoga lama ya wkwk terimakasih,5,wow telah sekian lama pingin eos juga faceholdingbacktears smilingfacewithhearts cakep amat ya makasih ya mimin barang udah sampe sesuai harap belum aku coba si tapi moga lama ya wkwk terimakasih
"Wangi farhampton nya kaya ada melatinya gitu,pas disemprot ketangan lama2 enak wanginya. Kalo buat yang Eos blm di coba",5,wangi farhampton kaya ada gitu pas semprot ketang lama enak kalo buat yang eos blm di coba
"Barang Bagus, top markotop, jangan ragu disini, barang berkelas, pelayanan mantap, Terima kasih banyak Agan",5,barang bagus top markotop jangan ragu sini barang kelas layan mantap terima kasih banyak agan
"Wangi vanilla nya agak strong, cenderung manis, projectivity nya moderate, longevity lumayan lama, tahan sampai 10 jam",5,wangi vanilla agak strong cenderung manis projectivity moderate longevity lumayan lama tahan sampai jam
"kaya agak beda dari wangi sampelnya, tapi mgkn sy yg salah ingat. dapet free sampel & voucher lg, thank you.",5,kaya agak beda dari wangi tapi mgkn sy yg salah ingat dapet free sampel voucher lg thank you
Parfum hmns eos (essence of the sun) ga pernah salah buat dipake sehari-hari. Wanginya energik bikin mood jadi semangat plus tahan lamaaa,5,parfum hmns eos essence of the sun ga pernah salah buat dipake seharihari energik bikin mood jadi semangat plus tahan lamaaa
wangi aku suka udh lama make parfum ini loh,5,wangi aku suka udh lama make parfum ini loh
Wishlist aku sekak lama Alhamdulillah kesampaian punya hmns eos.. sukaaa bgt sm aromanya,5,wishlist aku sekak lama alhamdulillah sampai hmns eos sukaaa bgt sm
Keren bgt packagingnya like unboxing handphone u kno 🥰🫶🏼 Parfume nya juga wanginya ✨✨✨,5,keren bgt like unboxing handphone u kno smilingfacewithhearts hearthandsmediumlightskintone parfume juga sparkles sparkles sparkles
"seller nya responsive dan ramah, packaging nya bagus dan aman, barang diterima dalam kondisi baik. Wanginya lembut gak sampe nusuk ke hidung, tapi wanginya gak tahan lama. Terima kasih kak, sorry baru review sekarang.",4,seller responsive dan ramah packaging bagus dan aman barang terima dalam kondisi baik lembut gak sampe nusuk ke hidung tapi gak tahan lama terima kasih kak sorry baru review sekarang
"harumnya enak ringan ga terlalu berat juga, packaging bagus, botolnya keren, overall good👌",5,enak ringan ga terlalu berat juga packaging bagus keren overall good okhand
"sudah repurchase parfum ini karena suami suka banget sama wanginya. cuman pembelian kedua ini kok daya tahannya ga selama yg dulu ya? botol leaking, tanggepan cs cepat dan langsung diganti baru tapi harus bayar biaya pengiriman sendiri. dikirim botol baru tapi pencetan agak macet. males klaim ulang untuk penggantian. so far baunya enak hanya saja tidak awet lama",5,sudah repurchase parfum ini karena suami suka banget sama cuman beli dua ini kok daya ga lama yg dulu ya botol leaking tanggepan cs cepat dan langsung ganti baru tapi harus bayar biaya kirim sendiri kirim botol baru tapi pencet agak macet males klaim ulang untuk ganti so far enak saja tidak awet lama
"Pelayanan penjual sangat bagus, kualitas produk nya mantap, pengemasan oke, pengiriman juga cepat, 2 jempol pokoknya.",5,layan jual sangat bagus kualitas produk mantap emas oke kirim juga cepat jempol
wanginya enak tapi apa emang gini ya bagian atas votolnya ada garis seperti ini,5,enak tapi apa emang gin ya bagi atas ada garis seperti ini
"Paketnya tiba kondisi rapi banget. Buka terus cek semua isinya (kecocokan varian yang dipesan, apa ada leaking atau cacat lain), langsung berasa lega kalau kondisinya baik banget/nggak ada masalah. Sejak coba dari samplenya, wanginya langsung bikin naksir. Manis + segar tapi nggak bikin eneg. Terima kasih juga buat sample lainnya (varian baru?), wanginya segar juga ♥️",5,tiba kondisi rapi banget buka terus cek semua cocok varian yang pes apa ada leaking atau cacat lain langsung asa lega kalau baik bangetnggak ada masalah sejak coba dari langsung bikin naksir manis segar tapi nggak bikin eneg terima kasih juga buat sample varian baru segar juga heartsuit
"Puas, beli yg share in bottle buat nyoba dan suka wanginya. Akhirnya beli yang full. Ketahanan kayaknya agak kurang lama, di 3-4 jam aja. Tapi aromanya enak banget. Kemasannya premium, kayak unboxing gadget. Overall puas, lebih oke kalo ketahanannya lebih lama.",5,puas beli yg share in bottle buat nyoba dan suka beli yang full tahan agak kurang lama di jam aja tapi enak banget premium kayak unboxing gadget overall puas lebih oke kalo lebih lama
"Ini botol ke 3 , Gaktau kenapa bisa cocok aja sama ni parfum , karna aku yang gak begitu suka bau yang Strong cenderung lebih ke kalem dan ketahanan parfum gila sih awetnya , baunya kalem Relax dan gak nyegrak di hidung dibuat kerja awetnya wah sih , dan masih menjadi favorit parfum saat ini 🫶",5,ini botol ke gaktau kenapa bisa cocok aja sama ni parfum karna aku yang gak begitu suka bau yang strong cenderung lebih ke kalem dan tahan parfum gila sih kalem relax dan gak nyegrak di hidung buat kerja wah sih dan masih jadi favorit parfum saat ini hearthands
"The packaging is so pretty! I also received a warranty card and a gift voucher. The scent is subtle and soft. My mother who usually complained whenever I wear perfume (her nose is very sensitive to smell), this time she doesn't complain anymore. I love it!",5,the packaging is so pretty i also received a warranty card and a gift voucher the scent is subtle and soft my mother who usually complained whenever i wear perfume her nose is very sensitive to smell this time she doesnt complain anymore i love it
"Sekali lagi, packaging keren. Untuk 1x semprot wanginya lumayan enak, 30 menit setelahnya lebih enak lagi. Tapi di kulitku ga tahan lama, kurang lebih cuma 3 jam udah ilang. Entah apa penyebabnya, karena ada testimoni lain katanya tahan 7 jam",4,sekali lagi packaging keren untuk x semprot lumayan enak menit lebih enak lagi tapi di kulit ga tahan lama kurang lebih cuma jam udah ilang entah apa karena ada testimoni lain tahan jam
Packacing aman walaupun tanpa wrapping tapi sudah dilabeli anti pecah. wanginyaa yang suka maniss cocok banget nyobain pake parfum ini,5,packacing aman walaupun tanpa wrapping tapi sudah label anti pecah wanginyaa yang suka maniss cocok banget nyobain pake parfum ini
aku sebenarnya ga begitu suka baunya. pas pertama kali itu pink pepper nya kerasa. terus lama2 vanillanya kerasa banget. tapi parfum nya tahan lama banget si. dan wanginya kecium bgt dr jauh. efeknya soft warm gitu.,4,aku ga begitu suka pas pertama kali itu pink pepper rasa terus lama rasa banget tapi parfum tahan lama banget si dan cium bgt dr jauh soft warm gitu
"harumm wanginya kalemm, packingnya kerenn, tutupnya tu ada magnet jadi pas kita mau tutup langsung nempel ke botolnya, overall suka",5,harumm kalemm kerenn tu ada magnet jadi pas kita mau tutup langsung nempel ke overall suka
"Secara kualitas oke, pengemasan juga bisa di terima dengan aman. Suka sama wanginya terutama pas vanillanya mulai keluar. Semoga kedepannya kualitas bisa lebih minimal sama asal jangan downgrade aja. Terimakasi",5,cara kualitas oke emas juga bisa di terima dengan aman suka sama utama pas mulai keluar moga kualitas bisa lebih minimal sama asal jangan downgrade aja terimakasi
"diawali dengan membeli starter pack, akhirnya memutuskan untuk membeli varian ini karena memang lebih cocok dipake siang hari. paketnya tiba dengan aman dan semua lengkap serta berfungsi dengan baik. terima kasih, HMNS.",5,awal dengan beli starter pack putus untuk beli varian ini karena memang lebih cocok dipake siang hari tiba dengan aman dan semua lengkap serta fungsi dengan baik terima kasih hmns
"Mendarat dengan sempurna Dan udah dipake 3 hari Wanginya awet banget dan bikin fresh Baunya bukan yg type sweet fruity gitu Tapi ini yg paling enak menurutku drpd yg lain Btw semprotnya kebaju ya biar tahan lama, kalau ke kulit cepet ilangnya",5,darat dengan sempurna dan udah dipake hari awet banget dan bikin fresh bukan yg type sweet fruity gitu tapi ini yg paling enak turut drpd yg lain btw baju ya biar tahan lama kalau ke kulit cepet
Parfum sudah diterima dengan baik. Dapat bonus farhampton. Wangi EOS nya so enak! Dapat kartu garansi juga kalau botol pecah/retak/bocor/spray tidak berfungsi. Response seller juga cepat. Terima kasih.,5,parfum sudah terima dengan baik dapat bonus farhampton wangi eos so enak dapat kartu garansi juga kalau botol pecahretakbocorspray tidak fungsi response seller juga cepat terima kasih
"sebelumnya beli ukuran travel mini dan wanginya enak sekali, kena keringat jg tetap enak wanginya dan tahan lama. Akhirnya nemu parfum yg cocok jd beli ukuran besarnya deh. packingnya juga rapi dan eksklusif. ternyata produk lokal bisa sebagus ini.",5,beli ukur travel mini dan enak sekali kena keringat jg tetap enak dan tahan lama nemu parfum yg cocok jd beli ukur deh juga rapi dan eksklusif nyata produk lokal bisa bagus ini
"Pengemasan aman, pengiriman cepat. Suka wangi yg warm gini, kyk bau bakery. Tahan lama juga, dipakai aktifitas kantor di ruangan bs tahan smp 5 jam.",5,emas aman kirim cepat suka wangi yg warm gin kyk bau bakery tahan lama juga pakai aktifitas kantor di ruang bs tahan smp jam
barang sesuai deskripsi. pemprosesan dan pengiriman cepat sekali. packing amat sangat baik. produk original. terima kasih,5,barang sesuai deskripsi pemprosesan dan kirim cepat sekali packing amat sangat baik produk original terima kasih
"sempet barang dateng dlm kondisi pecah isinya abis , untung saat chat ke hmns langsung di respon dan di ganti baru. kurang lebih 3 hari . thanks 🙏",5,sempet barang dateng dlm kondisi pecah abis untung saat chat ke hmns langsung di respon dan di ganti baru kurang lebih hari thanks foldedhands
"Recommended seller, admin nya ramah sekali. barang sampai dengan lancar, packing rapih dan aman",5,recommended seller admin ramah sekali barang sampai dengan lancar packing rapih dan aman
Barang sampai dengan aman tanpa kendala..spray nya berfungsi dgn baik tutup magnetik kuat dan ga mudah lepas..suka banget sama produk EOS dri awal beli staterpack thankuu HMNS,5,barang sampai dengan aman tanpa kendalaspray fungsi dgn baik tutup magnetik kuat dan ga mudah lepassuka banget sama produk eos dri awal beli staterpack thankuu hmns
"Wanginya manis segar ceria cocok dengan nama essence of the ☀️ Botol dan tutupnya lux, dengan built-in magnet ✨ Pengiriman juga lancar, thank you seller!",5,manis segar ceria cocok dengan nama essence of the sun botol dan lux dengan builtin magnet sparkles kirim juga lancar thank you seller
"WHAT ON EARTH! 💞 very worth it. pertama beli bottlenya agak leaked, I asked apakah memang ga full atau ini leaked, ada bekas tumpahan parfumenya sedikit tapi HUMINS LANGSUNG RESPON BUAT KIRIM YANG BARU. Never found this before. BIG THANKS HMNS! ❤️ anyway EOS ini vanillanya sweet banget wanginya, dan warm. cocok banget buat yang suka wangi manis. LOVE IT HMNS! 🔥",5,what on earth revolvinghearts very worth it pertama beli agak leaked i asked apakah memang ga full atau ini leaked ada bekas tumpah sedikit tapi humins langsung respon buat kirim yang baru never found this before big thanks hmns redheart anyway eos ini sweet banget dan warm cocok banget buat yang suka wangi manis love it hmns fire
