content,rating,processed_review
"sudah sering beli disini. kualitas oke dan harga terjangkau. produk tahan lama dan rekomen banget ! pengiriman cepat, walaupun tanggal merah tetap dikirimm ! great",5,sudah sering beli sini kualitas oke dan harga jangkau produk tahan lama dan rekomen banget kirim cepat walaupun tanggal merah tetap dikirimm great
Barang original dan tidak ada kekurangan sama sekali,5,barang original dan tidak ada kurang sama sekali
"Sejak pertama kali saya mencoba Saff & Co. Extrait de Parfum - SAFF, saya benar-benar terpesona. Aromanya adalah simfoni sempurna dari berbagai catatan yang mewah dan menenangkan. Seperti pelukan hangat yang mengundang, yang bertahan sepanjang hari, membuat saya merasa percaya diri dan berwibawa. Keseimbangan aroma parfum ini benar-benar luar biasa, tidak terlalu kuat dan juga tidak terlalu halus. Intensitasnya tepat untuk membuat pernyataan tanpa harus berkata-kata. Saya menerima banyak pujian setiap kali saya memakainya. Parfum ini lebih dari sekedar aroma, ini adalah pengalaman, ekspresi pribadi dari keanggunan dan kecanggihan. Saya sangat merekomendasikannya kepada siapa saja yang menghargai parfum berkualitas tinggi dan unik. Ini benar-benar aroma yang meninggalkan kesan yang tahan lama.",5,sejak pertama kali saya coba saff co extrait de parfum saff saya benarbenar pesona adalah simfoni sempurna dari bagai catat yang mewah dan tenang seperti peluk hangat yang undang yang tahan panjang hari buat saya rasa percaya diri dan wibawa imbang aroma parfum ini benarbenar luar biasa tidak terlalu kuat dan juga tidak terlalu halus tepat untuk buat nyata tanpa harus berkatakata saya terima banyak puji tiap kali saya parfum ini lebih dari dar aroma ini adalah alam ekspresi pribadi dari anggun dan canggih saya sangat kepada siapa saja yang harga parfum kualitas tinggi dan unik ini benarbenar aroma yang tinggal kesan yang tahan lama
"Rasanya enak, berkualitas,wangi banget dan banyak variasinya bikin nagih buat beli terus. Ga nyesel buat beli terus terusan mantaps banget pokoknya ini barang. Sukses terus guys.",5,enak kualitas wangi banget dan banyak bikin nagih buat beli terus ga nyesel buat beli terus terus mantaps banget ini barang sukses terus guys
Wangi nya bikin nyaman enak di cium dan lama hilangnya enak banget,5,wangi bikin nyaman enak di cium dan lama enak banget
Wanginya enak. Sering diskon. Jadi jangan buru-buru co. Tunggu aja sampe harga paling murah.,5,enak sering diskon jadi jangan buruburu co tunggu aja sampe harga paling murah
parfum terbaik yang pernah aku coba. udah beberapa kali coba dan cocok baunya di aku. bakal checkout lagi sih ini. lebih murah di ****** daripada toko offline. semoga wainginya tetap nyaman dan enak,5,parfum baik yang pernah aku coba udah beberapa kali coba dan cocok di aku bakal checkout lagi sih ini lebih murah di daripada toko offline moga tetap nyaman dan enak
"Sesuai pesanan, pegiriman cepat... wangi strong rekomen buat indoor awet wanginya 👍",5,sesuai pesan pegiriman cepat wangi strong rekomen buat indoor awet thumbsup
Wanginya tahan lama bgt. Recommend buat cowok2 yang nyari parfum yg manly bgt.,5,tahan lama bgt recommend buat cowok yang nyari parfum yg manly bgt
"Pembelian kedua, dan agak kecewa sih karena bocor. Sudah dikasih solusi untuk pengembalian tapi ongkir pengembalian terlalu mahal karena saya di Indonesia bagian Timur. Yasudah lah lagi apes aja. Makasih",3,beli dua dan agak kecewa sih karena bocor sudah kasih solusi untuk kembali tapi ongkir kembali terlalu mahal karena saya di indonesia bagi timur yasudah lah lagi apes aja makasih
"pertama beli yg tester, enak. beli yg kedua kalinya untuk misua",5,pertama beli yg tester enak beli yg dua untuk misua
paketnya sudah sampai dan benar2 puas dengan barangnya trims gan...,5,sudah sampai dan benar puas dengan trims gan
terimakasih untuk bonus sample mini untuk setiap kardusnya 🙏,5,terimakasih untuk bonus sample mini untuk tiap foldedhands
Wangi elegant dan tahan lama. Dapet bonus 5ml yang cocok juga sama wanginya best brand 👏🏻👍🏻,5,wangi elegant dan tahan lama dapet bonus ml yang cocok juga sama best brand clappinghandslightskintone thumbsuplightskintone
"ini wanginya ga ada obat sih, tahan lama dan sangat comfortable untuk dicium kaum hawa hahaha mantaplah pokoknya mah",5,ini ga ada obat sih tahan lama dan sangat comfortable untuk cium kaum hawa hahaha mantap mah
Wanginya tahan lama.. lebih ke cowo karena wanginya maskulin banget,5,tahan lama lebih ke cowo karena maskulin banget
"Nuhun, terima kasih. Gasssssss. Ga harus wangi yang penting ga bau. Gasssssss ga pernah mengecewakan lahhhh pokoknya.",5,nuhun terima kasih gasssssss ga harus wangi yang penting ga bau gasssssss ga pernah kecewa lahhhh
dapatkan 150 Gopay Coins! kasih testimoni 40 karakter dengan 4 putu dan 1 pidio barang yaa teman temann,5,dapat gopay coins kasih testimoni karakter dengan putu dan pidio barang yaa teman temann
"wanginya segar dan khas, packaging yang baru punya design yang menarik tapi boxnya saya rasa terlalu besar. untuk kualitas parfumnya sudah pasti bagus",5,segar dan khas packaging yang baru design yang tarik tapi saya rasa terlalu besar untuk kualitas sudah pasti bagus
Wanginya buat cowok cocok banget. Emang kesan pertama strong banget. Cuman masuk ke middlenya ga terlalu nusuk dan masih fine dipake. Minus di box. Dapet tester Troupe cuman agak kurang suka baunya kek menyan melati 👊🏼😃,4,buat cowok cocok banget emang kesan pertama strong banget cuman masuk ke ga terlalu nusuk dan masih fine dipake minus di box dapet tester troupe cuman agak kurang suka kek menyan melati oncomingfistmediumlightskintone grinningfacewithbigeyes
"Wanginya enak, maskulin, tapi soft, ga terlalu nyetrum hidung, ada seger lemonnya juga endingnya di hidung. design boxnya juga bagus dipikirin banget detailnya. Plus wangi dari free testernya juga cocok sama selera, jadi pengen coba beli yg testernya next time",5,enak maskulin tapi soft ga terlalu nyetrum hidung ada seger juga di hidung design juga bagus dipikirin banget plus wangi dari free juga cocok sama selera jadi ken coba beli yg next time
"aromanya oke dan lumayan tahan lama, karena aku perokok jadi kurang enggeuh, tapi ternyata banyak yg notice aroma parfumenya dan banyak yang compliment sih.. mau coba aroma yang lain, isi cuma 60ml tapi pemakaian sedikit dan tahan lama banget sih dibandingin parfum yg dijual di alfamart",5,oke dan lumayan tahan lama karena aku okok jadi kurang enggeuh tapi nyata banyak yg notice aroma dan banyak yang compliment sih mau coba aroma yang lain isi cuma ml tapi pakai sedikit dan tahan lama banget sih dibandingin parfum yg jual di alfamart
"Baunya enak, tahan lama. Cuma sayangnya seharusnya dapat free 2 sampel tapi sy cuma dapat 1.. sepertinya jatuh saat proses pengemasan karna yg ada di box saya hanya bungkusnya saja😅",5,enak tahan lama cuma dapat free sampel tapi sy cuma dapat jatuh saat proses emas karna yg ada di box saya saja grinningfacewithsweat
"dibeli buat kado, semoga sih suka ya, plus dapet tester varian lain hehe makasih! btw kotaknya too much kak untuk botol kecil, mungkin kedepannya bisa diminimalkan dari segi packaging. thanks!",5,beli buat kado moga sih suka ya plus dapet tester varian lain hehe makasih btw too much kak untuk botol kecil mungkin bisa minimal dari segi packaging thanks
"Dulu baru cobain yg mini size dulu, kan katanya strong banget tuh, pas dicoba enak, kata temen2 juga asik baunya. Yaudahlah karena menurut gua manly banget baunya, gua beli akhirnya yang size ini. Udah gw coba ini varian seharian (kalo ga dipake aktifitas berat) masih kecium, bahkan masih tahan 5-6 hari kedepan (di baju/jaket). Yang paling gw suka packagingnya, ini keren wkwkwk gatau suka aja sama desainnya dark banget, ga kayak yang lama yg packaging putih. Ditambah ada testernya yg SOTB ini enak bet, sweet-feminim cocok buat cewe, overall enak banget sih, cocok dah saff ama gua wkwk.",5,dulu baru cobain yg mini size dulu kan strong banget tuh pas coba enak kata temen juga asik yaudahlah karena turut gua manly banget gua beli yang size ini udah gw coba ini varian hari kalo ga dipake aktifitas berat masih cium bahkan masih tahan hari depan di bajujaket yang paling gw suka ini keren wkwkwk gatau suka aja sama dark banget ga kayak yang lama yg packaging putih tambah ada yg sotb ini enak bet sweetfeminim cocok buat cewe overall enak banget sih cocok dah saff ama gua wkwk
"Boxnya fancy, kualitas extrait de parfum tidak perlu diragukan lagi, dan harumnya suka soft dan tahan lama",5,fancy kualitas extrait de parfum tidak perlu ragu lagi dan suka soft dan tahan lama
Barangnya bocor smpainya tapi tetap diretur,5,bocor tapi tetap retur
"packaging super bagus, wangi juga sangat cocok dengan yang saya mau, sayang cuma ada yang 30ml",5,packaging super bagus wangi juga sangat cocok dengan yang saya mau sayang cuma ada yang ml
"pertama beli saat saff ini buka booth di senayan city, wanginya enak dan lumayan tahan lama.. suami nyoba dgn size kecil, tp ternyata oke, setelah habis minta tolong sy untuk order di sini, eeeh dapat bonusan jg yg omnia.. wanginya jg enak yg omnia ini.. terimakasih..",5,pertama beli saat saff ini buka booth di senayan city enak dan lumayan tahan lama suami nyoba dgn size kecil tp nyata oke telah habis minta tolong sy untuk order di sini eeeh dapat bonus jg yg omnia jg enak yg omnia ini terimakasih
"gak nyangka bakalan suka sama aromanya parfum lokal ini, awal nya ragu tapi ternyata candu. hahaha Packingnya keren, sangat aman sekali dari kerusakan atau kelalaian kurir. Dapet bonus vial lagiih, ternyata enak lagih vialnya juga yg iliad.",5,gak nyangka bakal suka sama parfum lokal ini awal ragu tapi nyata candu hahaha keren sangat aman sekali dari rusa atau lalai kurir dapet bonus vial lagiih nyata enak lagih juga yg iliad
"Wanginya classy, wrapping kotaknya bener2 aman, dan cover dari kotaknua emang beda dari yang lain, dikasih mini size varian loui : packagingnya yg bisa dibawa kemana-mana si ini. untuk ketahan belum diketahui, semoga aja lebih dari 7 jam an",5,classy wrapping bener aman dan cover dari kotaknua emang beda dari yang lain kasih mini size varian loui yg bisa bawa kemanamana si ini untuk tahan belum tahu moga aja lebih dari jam an
