content,rating
"repurchase karena memang seenak itu wanginya, warm floral dan manis, enak banget dan wanginya juga tahan kurang lebih 5 jam an, kalau udah agak lama memang harus di sniff dulu baru kecium, tapi emang seenak ituu, thanks",5
"sempet panik, gue kira parfumenya bocor (foto 2) ternyata bukan itu kena air, harumnya pun sesuai dengan yang di harapkan, soft kalem unisex, parfume sebelumnya gue pake LABCITANE,KAHF,OUDS, ini jadi yang perdana menggunakan HMNS.",5
"wishlist beberapa bulan lalu akhirnya kebeli juga, kemaren nahan2 karna masih ada parfume. ini wanginya enak banget, soft ga yang nyegrak gitu udah gitu awet tahan lama. sesuka ituuuu😍🤩",5
"Wah…ini sih emang gak boong ternyata review2 di YouTube. Emang beneran enak hahaha….udah punya cukup koleksi parfum, yg harganya di ttatas EoS…tapi ini worth it banget…bisa dilayer pula …packaging jg rapet aman betul pengiriman jg cepet banget haha can’t hope better than this…,hahaha thanks HMNS team, you don’t lie us😹",5
"wanginya lumayan awet yah untuk aktivitas dalam ruangan...bisa sampai 6jam masih kerasa tipis-tipis. tapi ada perbedaan aroma antara kemasan trial dengan yang ini, entah feeling aja atau memang yang kemasan trial lebih ena aromanya.",5
"Botol kokoh, semprotannya berasa premi, tutupnya ada magnetnya jdi rapet. Kemasannya elegan, baunya lembut seger di awal. Awet dan lama ninggal sweetnya. Good job, HMNS.",5
finally my very first EOS EDP from HMNS. Dulu baru cobain vial aja dan suka banget sama wanginya! Akhirnya kesampean juga sekarang beli EDP 100ml. Tutupnya juga pakai magnet jadi aman banget. Dapet warranty card juga jadi bisa ke komplain ganti rugi kalau ada kerusakan. Good job HMNS! will definitely repurchase kebeneran dikasih voucher jugaa,5
"enak looh wanginyaa, beli buat dipake panas panasan. dulu sempat beli yg mini size nya. 8.8 co dehh heheheh udah 3, oh iyaa aku dapet bonus addict jgg, enak bgt wanginy. jadi kado buat suamiku dehhh",5
Ini baru re-purchase setelah sekian lama belum beli lagi. Sangat cocok dengan wangi dan kualitasnya. Apalagi jika diblend dengan eon,5
"Wanginya soft, ga bikin pusing, packing aman, hmns terbaik👍🏻",5
"Mantap produk sampe dengan selamat selebihnya aman dan gaada masalah sama sekali pengiriman standar, barang original tentunya, barang sesuai pesanan sudah dicek barang kondisi dengan baik dan bagus",5
"review jujur: ga begitu suka parfum yg baunya manis tp ini msih enak sih buat gw. trus untuk tahan lamanya sekitar 4-5jam tp kalo disemprot ke pakaian lebih tahan lama. dan gatau knp ini masalah bahanya atau kulit gw, kalo si semprot ke area tekukan lengan sama leher rasanya panas dan ada ruam merah(tp ga parah dan bakal ilang rasa panasnya)",4
"Packing nya oke banget ada boxnya juga, wanginya enak ga bikin eneg. Kemarin coba yang testi ukuran kecil ketagihan dong akhirnya beli yang ini sekalian. Terimakasih HMNS next bakal order lagi 🤍",5
Wow setelah sekian lama pingin punya eos. Akhirnya punya juga 🥹🥰 cakep amat ya. Makasih ya mimin barang udah sampe. Wanginya sesuai harapan. Ketahanannya belum aku coba si. Tapi semoga lama ya wkwk terimakasih,5
"Wangi farhampton nya kaya ada melatinya gitu,pas disemprot ketangan lama2 enak wanginya. Kalo buat yang Eos blm di coba",5
"Barang Bagus, top markotop, jangan ragu disini, barang berkelas, pelayanan mantap, Terima kasih banyak Agan",5
"Wangi vanilla nya agak strong, cenderung manis, projectivity nya moderate, longevity lumayan lama, tahan sampai 10 jam",5
"kaya agak beda dari wangi sampelnya, tapi mgkn sy yg salah ingat. dapet free sampel & voucher lg, thank you.",5
Parfum hmns eos (essence of the sun) ga pernah salah buat dipake sehari-hari. Wanginya energik bikin mood jadi semangat plus tahan lamaaa,5
wangi aku suka udh lama make parfum ini loh,5
Wishlist aku sekak lama Alhamdulillah kesampaian punya hmns eos.. sukaaa bgt sm aromanya,5
Keren bgt packagingnya like unboxing handphone u kno 🥰🫶🏼 Parfume nya juga wanginya ✨✨✨,5
"seller nya responsive dan ramah, packaging nya bagus dan aman, barang diterima dalam kondisi baik. Wanginya lembut gak sampe nusuk ke hidung, tapi wanginya gak tahan lama. Terima kasih kak, sorry baru review sekarang.",4
"harumnya enak ringan ga terlalu berat juga, packaging bagus, botolnya keren, overall good👌",5
