content,rating
"awalnya pas di spray ada wangi segernya gt, lama2 wanginya sweet tapi bukan yg bikin enek gt sweet2 feminine, ketahanan wanginya ok, packaging juara✨",5
"Wanginya enak, kalem, bikin tenang, cocok buat orang tipe calm",5
"Akhirnya sampai juga, tidak ada cacat pada brang dan wanginya pas 🎉",5
akhirnya kesampaian juga punya orgsm. senang banget kotaknya sangat aman. bukan kaleng-kaleng deh. aromanya juga enak. semoga awet di kulit.,5
"akhirnya kebeli juga parfume ini, udah pengen dari lama, wangi banget, manis kayak teh gitu, pokoknya suka wanginya. lumayan tahan lama.",5
"Suka bgt wanginya.. Belum tau sih tahan berapa lama kalau dipakai, cuma jatuh cinta bgt aama wanginya. kemasanny elegan bgt!",5
wanginya enak banget. istri suka banget pake ini.,5
produk diterima dalam keadaan baik aman dan packing nya rapi respon penjualny baik dan terimakasih atas pelayanan nyaaa ini,5
"Bau nya seger gitu, packing aman, ada dikasih bonus aroma yang berbeda dan juga botol kosong untuk traveling",5
I LOVE THIS PARFUME SO MUCH!!!!! akhirnya bisa kebeli yang fullsize nya hehe :3,5
wanginya enak cuma kok tutupnya agak bocor yaa,5
"Packaging aman, barang sampai dgn baik. Wanginya manis, enak. Lumayan tahan lama. Thx",4
"packing aman, pengiriman cepat, respon mantap",5
"wangi banget, pengiriman cepet banget",5
"Pass saya lagi sendok es ke mulutttt cuuuttttt...... Itu ngilunya saya bener bener langsung kehilangan momen bersama teman teman saya,disitu akhirnya saya beralih ke sensodent ,sekarang kata temen temen eh rin makanya pelan pelan dong kita belum kebagian nih",5
"Barang yang dikirim sesuai dengan pesanan, terimakasih seller",5
"Pertama kali beli HMNS. KAGET WKWKK Bungkusnya waow bangeetttt. Super duper keren sekali. Baunya? Jangan ditanya wkwk Saya rasa buat pemula sepertiku, jangan ragu memilih HMNS ORGSM. Tidak mengecewakan",5
"yeay repurchase lagi parfum ini, botolnya beda ya. prfum yg wangii banget sampe banyak yg nanyain pake parfum apa, nyebar bgt baunya. beli pas ada diskon, thanks seller",5
"pertama kali beli hnms karna liat salah 1 enterpeneur fav aku, jd aku lgsg cusss beli ahahhaaha dan pas kemarin pesen lagi dapet free an 🤍",5
Beli parfum hmns di jamin nggk ngecewain. Parfum tahan lama didalam baik diluar.,5
Awalnya nyoba beli trial size nya dulu yg 10ml ehhh ternyata cocok bgt sama wanginyA✨💓💓 enakk bgt wangi vanilla manis seger gituu🤩💓,5
Sebagai orang yang melakukan blind buy.. Pembelian pertama ku ini bisa dibilang sukses karena wanginya cocok di hidung ku 👍🏼,4
Wanginya suka bangeddddddd. Jujur lebih suka ini dari yg darker share,5
"lagi cari2 local perfume, ok ini worth to buy!👍🏻",5
"nangisss hmns sesuai ekspektasi aku bangettt. this is me, orgsm is me! and also unboxing yg satisfying dan mengasyikkan! luph hmns banyak banyak 😭🫶🏻🫶🏻🫶🏻",5
"pesanan sesuai, cepat, kayanya dapet bonus tapi remuk. harusnya packaging bisa pakai bubble wrap, mau dibikin seneng malah bikin kecewa. mau komplen tapi barang bonus 🙃",4
"Produk asli lokal, kualitas sangat bagus, dan pasti wanginya enak. Dapat bonus juga hehe.",5
"awalnya ragu mau beli apa enggak. soalnya kan gabisa dicoba dulu baunya gimana. ternyata emang enak banget baunya. di awal bau seger buah, trus jadi manis. tapi manisnya calm gitu. gak yang overpowering. enak banget pokoknya",5
As always. Rapih dan elegan. Kalau masalah kualitas aromanya jangan ditanya lagi. Terbaik. Tapi sayang testerny ga ada sekarang. Biasanya dapat tester botol kecil. Lumayan tuh bisa buat saya bawa kemana2 hehe,5
"toko fast respon n sangat ramah, proses dari order sampai kirim ke kurir sangat cepat, estimasi pengiriman sesuai, packing paket sangat aman dan barang diterima dengan baik.. suka dengan produk nya, sesuai dengan deskripsi..",5
"saya mau kritik sdikit, terkait quality control lebih ditingkatkan, terkait packing pengiriman malah mengalami penurunan ga dibubble wrap ( dulu luar dalam ), tp admin wa baik, minta maaf, langsung kasih solusi utk retur dan ganti baru ( appreciate it ), tp buat saya cukup merepotkan ( packing, kirim2 ), kedepannya smoga bisa ditingkatkan lagi, biar kita ga harus sama repot2 karena quality control ga maksimal 👍",4
"Real fast delivery, packagingnya bagus walaupun simple tapi very sturdy jadi ngga khawatir parfum rusak ketika dikirim. Wanginya juga pas banget untuk yang suka manis2 tapi ngga terlalu overstated. Overall really happy with the quality of the product.",5
"parfum yang lagi hype banget bikin penasaran. aromanya manis banget, sebenernya kurang pas kalo buat siang. tapi tahan lama banget wanginya, dan ngga bikin eneg. dapet free scent of a woman juga. thankyouuu",5
"I lost my count, gak kehitung lagi ini pembelian yang ke berapa. Botol yang kali ini spray-nya terasa lebih halus dan mudah dipencet, perubahan yang bagus. Jadi sudah dipastikan O adalah salah satu perfume favorit yang selalu membuatku percaya diri ketika memakainya. Dan akan terus kucheck-out setiap kali habis.",5
"Pengiriman Baik & Cepat, Packaging Aman & Rapi, Seller & Kurir Fast Respons, Thank You",5
"Baru kali ini beli perfume yang sama sampai dua kali bahkan sebelum yang pertama kemarin habis, sesuka itu sama wanginya❤ Proses, pengiriman dan sampainya juga cepat, mana huminsnya responsif dan baik banget. Bakalan order lagi sih ini kayaknya, tapi mungkin pengen coba yang varian lain. Terima kasih HMNS! ❤",5
Damn... parfum yang diidamkan karena penasaran sama wanginya.. trimss.. semoga istri suka..,5
"Checkout orgasm dapat full size Farhampton juga plus mini size nya alpha, sayang bgt padahal mini size nya pengen tau EoS hehe Farhampton laki bgt wanginya lumayan buat suami sayah….",5
"kusuka wanginya yg manis, aman dipake di ruang ber-Ac dan di outsoor, cuma klo di outdoor kayanya agak puyeng ya nyium wanginya. tapi kusuka banget wanginya. daya tahannya lumayan ya. ini foto setelah dipakai bbrp kali.",5
"Produk aman, ada bonus pouch, sebenarnya gak mau buka, buat kado, tapi ada bunyi jadinya dibuka.",5
"Alhamdulillah udah sampe dengan aman, wanginya ternyata sama kaya bosku🤣🫶🏻",5
"Concern ke packingannya oke banget sih menurutku, byk brand2 lokal yg mahal tapi gak merhatiin packingan sama sekali… kalo dari segi wangi 1st spray gitu keluar kayak wangi spicy2 agak nyengat sdkit lama kelamaan baru ke sweet, wanginya mirip salah satu parfum zara sih menurutku, vanillanya jg gak begitu kecium lebih ke spicy",5
"sumpah bagus bgt dari packaging nya aja udh kek premium gitu, aman bgt, wanginya enak agak manis gitu tapi suka sih,dpt bonusnya juga. makasih sellernya",5
"Recomended banget pokoknya,ramah, fast respon, pengirimannya juga cepet banget. Selalu puas pake parfum ini. Thanks juga buat hadiah buku catatan sama voucer 25k nya, selebihnya biar bintang yang berbicara 👍👍👍",5
"wanginya enak, suka banget, manis2 gitu.. awet juga parfumnya, packaging mantab, parfum aman gada bocor..",5
"Ini kali pertama sy beli parfum via online. krn buat sy parfum mesti dicoba, dirasa dan dinikmati langsung aromanya Tapi begitu sy buka langsung jatuh cinta sama desain packingnya yg sangat mewah...begitu sy coba aromahnya luar biasa harum... melebihi ekspektasi sy hehehehe ibarat HP ini satu kelas dengan iPhone selamat tinggal parfum impor",5
"sumpah agak takut pas liat dusnya kena cakaran benda gitu. Tapi ternyata aman, suka top notes apelnya enak.",5
