content,rating
"wah gila wanginya keren banget, awal nyium kek maskulin banget tapi pas udah lama dipake jadi sweet smoky powdery yg waw, type parfum yg awet banget menurut gue, sooo gooddd",5
"Pengirimannya cepat, respon penjual juga cepat, terbaik lah pokoknya. Btw semangat buat miminnya yg super sibuk ngurus orderan. Kalo buat wanginya oke lah yaa, di kulit gua top notesnya strong banget buat aroma rempahnya, middlenya baru keluar deh aroma manis vanillanya",5
"harum kaya marshmallow manis , dapet botol kecil nya juga tpi pas pengiriman kardusnya bolong njir tpi gapapa lah yg penting botol nya aman",5
"Trust me,this smell exactly like v&k sp1cebomb with smokier dry down & bolder spices.Much more caramelistic compared to v&k,but it doesnt project like v&k does,harganya beda jauhh masse.Yes,it is very oily (jgn dipake dipakaian putih).Tend to be male-unisex,kecium maskulin bgt.Bisa dibilang ini versi elixirnya sp1cebomb,benar benar se bold itu,btw gw udah sniff edt sama yg edp juga.Dann jugaa mirip bgt sama MM bythefireplace",5
"kualitas g diragukan, wanginya di aku pertama kali semprot tajam banget terus spicy, kemasan juga mantep aman",5
"Paket diterima dengan aman, pemakaian pertama aromanya sesuai deskripsi, aroma2 api unggun plus vanilla untuk pemanis, unik juga. Belum tau ketahanan berapa lama",5
produk sesuai. packaging aman. botol cakep. wangi vanillanya enak bgt bak penyihir yg siap meluluhkan 100 wanita 🪄🧙🏻‍♂️🔮,5
"Pengiriman cepat, sangat puas sekali.. untuk wanginya sama seprti di deskripsi wangi kayu dibakar namun terakhir ada aroma vanilanya.. unik sih, tinggal tes longevitynya .. goodjob mykonos 👍🏻",5
"Packaging aman banget, lengkap dengan data ingredients dan tgl pembuatan. Overall bukan kualitas premium tp utk isinya sih,gokil..saya akui aromanya super bgt..kenceng dan tahan lama padahal baru 1x semprot. Sayangnya aroma ini sangat amat manis vanilla atau kayu manis, bener-bener ga cocok utk pria kcuali agak ngondek ya. Itu bagian IG bilang masuk top three yg bisa utk cowo tp gw rasa pengkategoriannya salah banget. HANYA COCOK UNTUK PEREMPUAN!",3
"mykonos bonfire vanilla ini wanginya enak banget smoky warm gituu, kirain PO bakal lama nihh nyampenya taunya cepet banget. good job lahh buat seller🙌😉",5
Pengiriman cepat Packaging ok Scentnya sweet,5
"awal semprot smoky banget d ak tp stlh drydown, jd manis bgt.. cocok buat yg suka bau2an manis, tp klo ga suka smoky2an mungkin krg suka openingnya",5
"harumnya semerbak banget😅 cocok bgt buat style formal Ala aku.. tapi buat daily 😩 overall wangi, packing nya cantik bgt. thx mini tester kak.. wangi nya enak cocok buat daily aku💜",5
Sesuai deskripsi Packing lumayan safety Dapat tester Semoga awet,5
"2 2nyaa okee banget dan wanginya enakk. Cuman agak sedihh aja kok ga dikasih eksklusif box yang bagus ituu 🥲 Tapi gapapa dehh, dikasih bonus slow living sama vialnya musk aura yang ternyataa musk aura tuu enaaak bangett, baunya kayak parfum² orang kaya gitu😍😍 Kayaknyaa soon bakal order yang musk aura xixixi",5
"Seller fast response dan ramah. Pengiriman cepat, suka banget sama wanginya.. cocok buat dipake waktu olahraga. Recommended!",5
"Jujur enak bgt wanginya,, jd pengen koleksi yg laen",5
"bintang 5 buat respon penjual,packingan,dan po yg super cepet sampe buat produk nya ya nama nya pertama nyoba ku kira bakal bold tapi ternyata tipis yang nyari spl buas kayanya ga cocok tapi asli bau nya unik ga pasaran",5
"pas di spray pertama kali langsung kecium wangi vanilla yang tidak terlalu manis dan ada kesan warm spicy dari pink pepper dan ada kesan woody yang enak, parfum ini cocok digunakan saat ada acara formal atau bekerja seharian di dalam ruangan. untuk di kulit saya sih bisa tahan 7-8 jam.",4
"terbiasa sama parfum wangi manis ketika blind buy bonfire ini ngerasa kaget dan kecewa ternyata ga manis manis banget, kesan pertama ketika di semprot kayak bau tuppereware lama disimpen, tapi lama lama di hidung kecium nya enak kalem ga nyengat lagi,buat yang pertama. kali punya parfum wangi pait pasti bakal kaget sih tapi worth it banget, btw thank you buat gratisan nya",5
ini botol ke 2 dalam sebulan ini. brand ini emang terkenal gabisa diem. tiap menit dan tiap hembusan bafas selalu rilis parfum baru. tapi meskipun lu rilis parfum baru sekebon juga gw paling cinta sama Varian ini,5
"Terima kasih barangnya sudah diterima dengan keadaan utuh dan baik. jujur first impression pertama kali spray langsung kecium aroma smooky burnt wood, tapi pas selang beberapa waktu kecium wangi lite sweet yang calm pas banget buat dipake outdoor/indoor. untuk ketahanan wanginya termasuk lama kisaran 7-8 jam cocok banget buat parfum tidur jadi bisa wangi semalaman. jadi overall ini parfum ini kan unisex cocok buat dipake tiap acara",4
"cakep bener kemasannya, baunya enak wangi vannila. untuk openingnya agak sedikit menusuk, tapi afternya vannilanya keluar",5
"produk dikemas dengan rapi dan aman..aroma belum coba,tapi kayaknya enak.dapet tester juga,tapi sayang sama kayak yg lalu juga.",5
"cukup nyeglek top notes nya karena spices nya nendang banget wangi pertama seperti clove dan pepper, tapi middle dan dry down nya manis baru keluar vanilla. kompleks tapi enjoyable",5
"beruntung banget baru 2 hari PO udh langsung dapet barangnya dan prosesnya cepet banget, adminnya juga ramah dan lumayan fastresp banget. untuk wangi parfumnya enak bgt 👍👍",5
kyk bau dupa atau kayu yg terbakar pas pertama kali nyium penasaran sih bau vanillanya gmn,5
"Wanginya manis tapi tidak over powering, tahan sekitar 4 jam-an. Saya menggunakan parfum ini dilayer dgn parfum lain. Kualitasnya ok punya 👌",5
"Buat blind buy sedikit terkejut sama baunya karna base note nya belum pernah nyium yang kek gini maklum awam. Tapi overall masih bisa diterima. Next mau nyoba Moroccan Vanilla keknya mirip MM Music Festival. Thank you, Mykonos!",5
"wanginya sangat manis, vanilla dan aroma rempahnya enak, dan tahan lama",5
"Aroma manis, vanila. sepertinya bukan extrait de perfume juga",5
"Blind buy atas rekomendasi admin live chat. dapet bonus tester pink beach yang sebenernya lebih cocok ke wangi perempuan. tapi untuk bonfirenya coba semprot lumayan suka wanginya, cukup strongm mudah mudahan awet wanginya",5
Sesuai dengan deskripsi dan dapat bonus sample. Wanginya enak manis plus tahan lama 👍🏻,5
"wanginya enak semua cocok ini buat cowo juga, dan terima kasih juga untuk bonusnya admin🙏",5
Wanginya sangat Vanilla dan dry downnya sangat enak,5
"Soft banget wanginya yang ini, giliran semprot si aphrodite langsung ketutup wanginya bonfire. Sayang banget gak dapet freebiesnya padahal dihalaman toko ada keterangannya.",5
"Aroma ke arah sweet vanilla, tapi tidak terlalu manis, dengan sedikit aroma bunga yang unik. Cocok untuk indoor daily scent. Suka dgn aroma saat drydownnya.",5
"Sampel parfum Dark Secretnya wanginya enak banget dong. Tapi malah tumpah di saku. Dan sewangi itu, parfum cewe tapi oke juga ripakai cowo. Wanginya unisex. Yang vanilla, lumayan. Tapi terlanjur jatuh cinta sama Dark Secret.",5
"manis banget, seharian gak ilang wanginya 😍",5
"Wow, parfum ini wangi aealnya manis vanila, lama kelamaan bonfirenya tercium jadi wanginya unik gitu. Suka... Bonusnya yang coxonut. Awalnya coconutty babget, lama kelamaan jadi florla. Beberapa kali beli parfum lokal. Baru kali ini saya suka wanginya. Kemasan juga kerwn babgeeet",5
Pengiriman ke jakbar total 2 hari.. Wangi di gw tuh ke woody gituu.. Mirip kayu manis (?).. Dikasih bonus edt sama 2 tester gituu.. thanks,5
Sesuai pesanan ternyata cepat juga saya kira masih PO ternyata lgsng dikirim👍🏼 wanginya juga enak mantap pokoknya,5
"2nd order. Arrived faster than P.O as always. First hint was super strong smokey tobacco. After dried down, then sweetness of vanilla starts to pop up. Kinda remind me of TF Tobacco Vanille. So night time and formal usage more suitable. But overall, super worthed it. Fancy scent with super affordable price. Can't wait for the next order to arrive 😉",5
semakin jatuh cinta sama produk dari MyKonos karena memang seenak itu wanginya dan juga murah tapi awet.. pengen borong jadinya tuh 😍😍😍,5
"Mykonos Bonfire Vanilla sudah diterima dalam keadaan baik. Awal spray tercium manis di hidungku, seperti aroma manisan plum China...atau kearah obat merah China, die da yao jing ( tapi tidak sama persis), mungkin krn spicy nya. Tiap orang beda2 hasil sniff nya. Kata anakku aromanya seperti kearah Peru balsam dan caramel. Unik dan enak pokoknya. Lama2 lebih soft. SPL bagus, terutama longevity nya. Test di baju bisa 3 hari masih tercium walau tipis2 tapi masih wangi dan makin enak aromanya. Untukku aromanya cocok di udara dingin, malam hari atau di ruang AC. Dapat bonus varian Blossom. SPL nya bagus.Karena aku suka Jasmine, Tuberose, Ylang2 jadi lebih suka tipe aroma spt ini. Terima kasih utk harga promonya.",5
"suka wanginya, botol kemasannya keren, referensinya sih tahan lama, saya baru nyoba aromanya ternyata enak",5
"Aroma: ⭐⭐⭐⭐ Projection: ⭐⭐⭐ Longevity: ⭐⭐⭐ (4-6 jam indoor) untuk parfum jenis extrait menurut saya agak kurang kualitasnya, lebih ke eau de parfum",4
pengiriman cepat & aman👍🏼 kualitas sangat baik👍🏼,5
"aromanya wangi, kompleks, dan projectionnya sangat kuat. aromanya strong aromatic dari rempah rempah dan sentuhan warm, cozy, sexy sangat luar biasa.",5
"Paket sampai dengan selamat, bubble wrapnya tebel. Dapet bonus vial, tapi gak sesuai request. Overall perfumenya enak mirip² MMM replica by the fireplace",5
pengiriman cepet padahal pas CO PO dulu.. bonfire vanilla wangi rempah2 belom tau lama kelamaan enak apa engga .dpt free tester WHEN IN PARIS wanginya manis,5
"barang sdh sampai sesuai estimasi, packingnya aman 👍🏽 untuk wanginya strong bngt bau rempahnya",5
"asliiii suka bgt sama wanginya bikin nagih, udh gitu awet bgt. pas aku pake banyak bgt yg nanyain dan puji aku wangi jd aku ksh tau. semoga pd ikutan beli krn happy bgt kalau orang pd suka sama wanginya💜💜 pas beli dapet free lg walaupun yg freenya pecah huhu🥺😭",5
"Enak banget! Warm, smoky, vanilla nya gak enek dan kayaknya cocok jadi base buat di layer sama berbagai parfum.",5
"Parfumenya wangi sweet vanila dan ada hint smoky and wood, warm spicy, cocok untuk malam hari dan udara dingin, it gives me holiday vibe",5
gila sih bau nya enak banget soft tapi smoky... dapet bonus lagii... thank you... ❤️❤️,5
"wanginya enak banget. strong.. sesuai dgn keinginanku. beli parfum nya dpt diskon plus ada gratisannya. thx ya Min... sering"" loh kasih hadiah biar jd pelanggan tetap. sukses terus ya bt tokonya. 🤟🤟🤟",5
"Gue suka banget aromanya, buat ngantor, meeting, harian jg ok. Smooky + vanilla pertama gue, keren! Wajib coba! Thanks",5
"sudah sampai dengan selamat, dapat bonus body mist dan sampel. semoga cocok. terima kasih.",5
"Fast response, beli 2 dpt 4, steal deal sih, wanginya sukakkkk",5
"wangi manis dari rempah2 nya kerasa bgt, jd takut didatengin VOC",5
"Wanginya lama kelamaan enak trus packagingnya cantikk❤️ Aku juga dapet free tester aphrodite & when in paris yg ga kalah enak wanginyaa, sukaa deh pokonyaa",4
Wanginya enak banget apalagi kalo udah dried down!! Gak nyesel blind buy varian ini🫶🏻,5
"barang sudah di terima dg baik, ada bonus nya... kita coba dlu...klu bagus RO lg.. tq mykonos",5
"Mantap, dikira bakal PO lama, trnyata lngsung dkirim dhri yg sama 🥰",5
"Definisi wangi yg comfortable. warm cozy scent, I love it. This parfum is suitable for coldy seasons.",5
wanginya enak + seneng dikasi bonus vial sama hand sanitizer ❤️,5
Thx MYKONOS… all packages are well-delivered.. and also thx for the extra samples,5
aroma na enak.. ada bonus sample nya.. thanks,5
"Wanginya Enak Lebih Ke Spicy, Dikasih Sample Caramel Juga,Thx.",5
Wanginya enak. Makasih banyak atas bonusnya!,5
"Orderan kedua, dan dapat bonusan EDT 🎉 Makasih min…",5
"Pengiriman cepat, enak wanginya",5
mantap mantap mantap mantap mantap mantap,5
parfum nya tahan lama wangi nya 👍,5
Wanginya mantap and dapat tester,5
nice produk suka sama aroma vanillanya.,5
Semprotan pertama bau alkoholnya agak nyengat. Setelah 5 menit kemudian baru wangi vanilanya keluar,5
"Baunya awal2 pasti ngerasa aneh, tp setelah agak lama keluar wangi smokey sama burnt caramel gt enak pokoknya ga bikin pusing, aku pake dolche cerry trs dilayer sm bonfire makin mantep wangi cewek kue jahe",5
"cocok digunakan dlm ruang office yang dingin banget, saat lagi hujan deres atau malem hari, sayang dry down nya agak seperti bau vanila generic/parfume murah lainnya.",4
"wanginya oke. tapi menurut saya kurang vanilanya, tali tetep enak. Manis aromanya respon seller cepat PO 30 hari hanya prank nih hahaha. ga sampe 5 hari. mantep. Recomended seller",5
"love the scent top notenya beneran spicy smoky gitu, kalo yang gasuka mungkin bakal nyengat, tapi dry downnya jadi spicy powdery sweet pokoknya enak banget di kulit aku tahan sekitar 5 jam indoor, masih ada wanginya tapi kasat banget harus reapply",5
"wangi sesuai dengan deskripsi, tahan lama banget, bisa nempel 1-2 hari di baju",5
"barang original, tp wangi nya saya kurang suka, packaging oke, dan makasih untuk bonus nya🙏",5
Wangi pertama kalinya kurang suka tapi setelah beberapa menit baru meledak wangi yang disuka 😍,4
"Vanilla yang ada gosong-gosongnya, lama kelamaan gosongnya ilang tinggal vanillanya, aman buat harian, ngga nusuk dan ngga mual, tetap ada di situ, ketahanan lumayan bisa diandalkan kalau di dalam ruangan berAC, belum coba kalau panas2an kena matahari. Dapet bonus Musk Aura 3.5ml yang wanginya cocok sama saya cuma stock habis. Oiya walaupun pre-order tapi mungkin karena sedang tidak overload pengiriman langsung dilakukan di hari yang sama. Thanks Mykonos.",5
Joss kalo dipake malem.. jgn sekali sekali dipake siang bolong asli. Eneg yg nyium aromanya. Pake kalo malem aja oke,5
bau rempahnya kuat di awal. abis itu aromanya enak,5
Pengiriman secepat kilat wangi nya mantap,5
"banyak bonus, kualitas bagus...packaging bagus, pengiriman cepat",5
"Suka dengan aromanya, tahan lama.",5
"Pembelian ke-2. Waktu itu gak PO, sekarang PO tp ok lah PO jg 3 hari usah nyampe. Kualitas parfumnya gak sembarangan sih ini, wenaknya ugal2an. Bonfire ini asli gue sampe merem melek aroma smokynya. Lo laki sejati wajib nyobain. Thanks seller",5
"top notesnya kurang suka dan aroma old lady gt agak ganggu, tp base note nya bikin nyaman, dan tahan lama",5
"scentnya rada kurang sih menurut gua, spl bomb gila di kulit gua >12 jam, overall ok lah",5
Mantap bonusnya banyak beli parfume disini terus ga yg lain,5
"Mantap, PO nya cepet dan seller komunikatif",5
"beberapa kali beli Mkyonos dan tak pernah kecewa,sejak dari respon penjual,paking super duper aman sampai aroma dan ketahanan aroma parfumnya selalu memuaskan",5
"SPL sakti banget si.. lu pecinta parfume vanilla cobain deh. 10 Jam di kulit gue dalam kondisi ruang ber-AC, mantaap mykonos sukses terus.",5
"cocok sama baunya enak wangi, packing aman, respon penjual cepat.",5
"Warm smoky, ada manisnya juga, menyenangkan, cocok dipakai di malam atau acara resmi. kalau siang agak berat.",5
"aromanya warm vanilla, kemasannya lucu",5
"Sebenernya ga ada masalah sama produknya. Cuma pesen tanggal 3 maret, baru dikirim tanggal 4 dan itupun jam 7 malem. Saya pesan pake YES JNE. Udah bayar mahal mahal, Yakin Esok Sampai menjadi pertanyaan YAKIN ESOK SAMPAI? Tentu tidak! Pesan 3 maret 2024 jam 5 pagi, sampenya 6 Maret. 4 hari sejak pesanan dilakukan. Nyesel pake JNE Yes",4
wanginya sesuai ekspektasi... communicative seller. packing rapi sekali. ada bonus pula... terima kasih,5
"FAST respon, wanginya enak, pengiriman cepat!",5
"muaniss bgt wanginya.. ky popcorn karamel. jd ini tipe gourmand yaa. bukan preferensi aku, tp mama suka. wanginya jg tahan. 9 jam jg msh kecium, tp yg make ga bs nyium kynya.",4
"wanginya suka banget enak g bikin pusing,, thanks ka bonusnya,, recommended seller 👍,,,sukses sll🤲",5
"packing rapi, barang bagus, pengiriman tepat waktu, wangi enak",5
Suka scentnya. Mirip margiela by the fireplace. Cocok untuk dipakai malam hari atau indoor ruangan berAC.,5
"suka sama wanginya, semoga tahan lama 👌",5
thankyouuu mykonos aku dapet harga 20ribu ajaa,5
"Packing sangat aman, kemasan elegan. So far suka wanginya, sesuai dengan deskripsi.",5
"Suka banget wanginya ga terlalu strong dan nyaman dihidung, wanginya juga awet ☺️",5
"Lgsg beli 3 krn sering sold out. Krn emg sesuka itu sama wangi nya, dan super awet di aku. Eh pas sampe rmh paketnya trnyata dikasi bonus byk bgt. Makin cinta dehhhh 🥰🥰",5
wanginya suka ga terlalu menyengat. good perfume. trs katanya PO 30 hari tp cpt bgt dikirimnya thanks ya.,5
"kurang terasa vanilanya, rasa lebih kayak kayu",3
Loveeeeee wanginyaaa!!!!✨💗 dapet free parfum eau de toilettenyaaaa baek bgttt!!🥰🥰🥰 thankssszzs,5
"wanginya pedes, mnrtku vanilla nya kurang kuat, ketahanan juga bentar",5
"Untuk niche yg gourmand mykonos ga pernah gagal. Enak banget. Wangi renpah dan vanilanya enak banget, nenangin",5
wanginya enak bgt di akhir walaupun wangi awalnya kaya jamu tapi di akhir manis bgt,5
"Super cepat deliverynya, plus dapat sample minyak wangi yg lain., best!!!!!",5
Cepet bgt pengirimannya kirain po30 hari beneran,5
"review jujur : ""Bonfire Vanila"" aroma 0-15 menit : jamu rempah bubuk + cabe (buat awal strong parah aromanya) 15 menit - seterusnya : vanilla + marshmellow (begitu dry down uhhhh, vanilanya SUPER enak) ketahanan asli ini gokil, semprot d kulit bisa sampe 12 jam (dalam ruangan ber AC) catatan : karena EDP so, jelas berminyak saran gw jangan pake baju putih saat pakai ini Bonfire Vanila karena bagian leher pada baju bisa jd kena semprotan parfume dan hasilnya bercak-bercak (susah hilang, walau lu cuci tu baju pke pemutih pakaian). parfume yg UNIK dan buat yg doyan kluar malem, ni parfume bisa lu keep.",4
Mantap barang sesuai deskripsi dan cepat dikirim,5
"Suka banget sm wanginya! Reminds me of magiel's by the fireplace tapiii lbh sweet & warm. In terms of longevity, di kulitku so-so",5
ketahanannya ok dan nyebar banget. cocok buat parfum di malam hari,4
"wangi nya agak cloying , 1 spray aja terasa kali dan bintang 1 buntung pengiriman j&t , melewati batas max estimasi tiba , dari Minggu sudah tiba di kota tujuan, kamis sore baru diantar",4
"As always, selalu enak wanginya. Saran aja, proses pengemasannya kalau bisa di percepat. Supaya gk kelamaan nunggu",5
Aq suka wangix... lbh kuat aroma kayux tp d campur vanilla jd manis so 'ga bikin pusing,5
"mantap, cepat sampainya dan dapat bonus. wanginya ok tapi lebih suka SENJA",5
wangi nya lebih maskulin dan ini prrfume yang pas untuk jalan ke acara yg formal,5
i love the smokiness that came soon after you spray it on your skin. it last almost 8 hours on my skin,5
"Bau nya kayak kayu banget mirip pensil yg baru di raut gitu loh. Ada memang parfum wangi wood (kayu), tapi ya gak gini juga baunya. Judulnya vanilla kan tapi wangi vanillanya tipis sekali. Beli ini krn influencer parfum di ig, tapi nyatanya ZONK!. Emang jangan percaya influencer2, yah namanya orang bayaran untuk promoin produk. yah ga selera saya aja sih wangi ini, bikin pusing.",2
"Kurang suka sama top notesnya, tp lama juga sih baunya",5
"wangi vanilla yg ga pasaran, ada woody, spicy, sama smokynya. bener2 enak",5
ketagihan beli dan beli dan beli...anak2 ku cowok semua...baunya awett sampai 3 hari..recomended,5
"Wangi nya too strong, more spicy than vanilla, klo nyari yg vanilla bgt, jgn pilih ini, pilih variant lain",5
spl fine overall nice 9/10👍,5
bonfire vanilla ini udh order yg ke2 x. gak salah pilih. cocok,5
Rasa alkoholnya masih terasa banget,3
GILAAAA ENAK BANGET VANILLANYAAA TOLONG PERTAHANIN DOSIS PARFUMENYA ❤️❤️❤️,5
bagus gaby suka sama wanginya,5
"baunya manis, klo suka manis cocok",5
Keren banget deh pelayanannya 👏🏻. Jadi mikir dua kali deh kalo mau beli lagi,1
"wanginya enak, vanilla smooky bold diawal, lama2 jadi lembut..awet puuun..",5
cokelat nya terasa segar manis vanilla,5
wanginya enak & tahan lama 👍,5
vanillanya lagi nyari ini semoga aja cocok,5
By The Fireplace on Budget 🫡,5
"selalu suka dg produk mykonos, ga pernh mengecewakan. order hari sabtu, hari selasa pesanan sdh diterima dan dapat tester dark secret. terima kasih seller.",5
Standar Lokal...Wangi biasa. Sesuai harga.,3
Kurirnya lama banget Percuma pilih pengiriman sameday,2
Mantappppp!!! Mksh atas bonusnya. sukses slalu!!,5
ini parfum either love it or hate it.,4
"semoga cocok buat hadiah, thks bonusnya btw",5
"barang sesuai apa yang di harapkan, thanks",5
mantep banget Wangi pelukble bangeet ❤️❤️❤️,5
wangi Vanila nya muncul di akhir,5
terima kasih bonus enchantednya kaka,5
sdh repeat order. bakal repeat terus 🤎🤎,5
wangi nya oke...,5
Suka sama wanginya. Lumayan tahan lama,5
Smoky Vanilla.. pengiriman cepat..,5
love it aja. makasih bonusnya kakak,5
Sesuai ekspektasi!! 🔥🔥🔥🔥,5
Wangi banget parfumnya,5
Wanginya enak parah si,5
syuuka sm bau ny,5
wangi pas Drydownnya mantap,5
<3,5
yg ini okeeee... sukaaakkkk dunxx...,5
wangi wangi,5
wangi,5
ENAK JOSS,5
gokill..,5
gacor kang,5
rempah sekali.....😭,5
mantap,5
