content,rating
"Wanginya berkelas, dipakai outdoor cocok sekali. Cuma harus sabar-sabar menunggu PO nya. Semoga kedepannya ga PO PO an lagi",5
"paket sampai dengan aman sesuai deskripsi terimakasih yaaa,...",5
"Pengiriman termasuk cepat. Admin juga mengusahakan segera dikirim. Admin responsif. Utk wangi nya tipe segar dan fresh tapi tidak terlalu menusuk hidung, cocok dipake pagi / siang. Utk SPL (menurut pribadi) tergolong medium-low sekitar 4-5 jam di ruangan ber AC dg radius sekitar 0,5-1 meter dan cukup mumpuni utk menutup bau apek dan keringat yg lumayan banyak ini. Ohya dapat bonus sample parfum varian Pistachio yg khusus buat cewek.",5
packing an sangat aman bubble wrap 5 lapis kurang lebih lalu di kasih plastik lagi di box nya. dus parfum nya juga sangat bagus dan wangi nya sesuai harapan,5
"Pengiriman 2 hari, packaging paketnya bagus. Abis dipake bbrp hari nanti update lagi penilaiannya",5
"ini segar enak wangi nya, serasa baru mandi di siang bolong. enaaakk fresh menyegarkan.... gak salah sih pilih myokonos sejak awal nyoba beli yg matcha latte, dan nyobain yg ini juga enak enak wangi nya.. harga sesuai kualitas.",5
po lama memang tidsk mengecewakan + dapet decent pink drop tapi terlalu creamy aromanya,5
mantap pengiriman cepat. dpt bonus 3.5 ml mykonos vanilla clouds juga 🤩,5
"PEMBOHONG!! 1. katanya gadapet tester! ehh ternyata dapet 😁 2. Katanya PO 30 hari, ehh tunya 2 hari udah dikirim 😁 wahh keren nihh tim Mykonos! sukses terus yaa. suka deh seller baik gini ❤",5
"meskipun bisa dibilang blind buy tapi gak nyesel sih enak banget dehhh, wajib dibeli terus ini mah😋",5
"Kata mimin estimasi po nya 10 hari, tpi trnyata 3 hari dah dtengg ni wah kece bgt, dpt tester ivoryyyy",5
"Parfum kedua mykonos, yg california seger bgt enak buat siang siang",5
"gila wanginya beneran enak bgt, fresh citrus tp gak bikin enek. cocok bgt dipake siang hari karena wanginya gak ganggu sama sekali. kl kecampur sama keringat, wanginya makin enak",5
"wangi enak, packaging ok, botol tebal dan sprayernya bagus..untuk keawetan agak kurang",4
"wanginya seger dan enak tinggal test ketahanannya, cuman bagusnya untuk ke baju karena kalo ke kulit bikin panas",5
"Base wangi nya enak tapi terlalu tajam buat saya. Tajam di top nya aja, middle ama base nya enak. Mungkin lebih cocok dipakai siang, untuk malam terlalu nendang bau nya.",5
"Imho ini parfum all rounder, siang oke, malem bisa. Sweet but not to sweet, aromatic yg masuk di hidung. Ada wangi2 ysl la nuit nya tp sekilas, wicis i love that scent. But longevity cukup ya, ga terlalu buas. Overall this is a must repeat order.",5
"baunya enak, botolnya kokoh. tapi kok gadapet free vialnya si? padahal ini peratama kali coba mykonos berharap dapet free vial yang lain, karena teratarik buat mulai explore brand ini.. tapi yaudahlah yaa 😌",5
"AAARRGGHHH!! WANGINYA UUUU JUARAAAKK, ENAK BANGET TUHAANNN.. SELALU, SELALU DAN SELALU TIDAK PERNAH GAGAL PARFUM MYKONOS TUH. ARGHH GEREGETAN SENDIRI🥰🥰🥰 PARAHNYA LAGIII DAPET TESTER BCP.... WAAAHHHH NGERI LANGSUNG DETIK ITU JUGA JATUH CINTA!!! KU HARUS IKUTAN WAR NANTI BAGAIMANAPUN CARANYA HARUS DAPEETT. TITIK!!!!",5
"Baunya enak dan awet, dipuji wanginya enak sama cewe 😎",5
"upgradenya mantap dari segi sillage dan projection, untuk longevity belum tau karena belum full wear. aromanya msh sama dengan yg dulu tapi di openingnya lebih lemon di hidungku, lavendernya jg lebih keluar, enak bgt ini untuk dipake panas panasan. cocok!",5
Baunya seperti sabun tapi tetep enak dan tahan lama banget. Cocok dipakai daily,5
GATAU UDA PARFUM KE BERAPA DARI MYKONOS. Lagi nunggu si stileto sama berty pancake nih. Thankyou minkoo…,5
"barang sampai dengan selamat, packing aman + rapih, mantap bgt dah",5
"gk sia2 nunggu PO berhari-hari, wangi walau awal kayak bau sabun tpi lama2 enak juga wanginya... btw ini pembelian Produk Mykonos pertama gw. next pengen beli yg Bonfire penasaran gw wangi kayak gmna 👍",5
"wanginya seger bgt awal bau buah trus dominan aquaticnya, untuk parfum extrait beli di harga diskon worth to buy bgt sih, po sekitar 10 hari pengiriman cuman 2 hari lgsg sampe, dpt tester juga yg black opera",5
"packaging nya combo safety. produknya udah dilengkapi cover hardcover gitu, lalu di bubblewrap, di masukin kedalam dus lagi, dan di bubblewrap lagi. keren bgt servisnya. dapat tester stiletto jugaaa dan wangiii bangeeeet testernya itu (aku uda order very berry bundle juga hehe). utk californianya juga warm banget, ada citrusnya ada lavendernya, manly banget, suka bangetbanget!! packagingnya sangat cocok utk gift dan apalgi utk dipake sendiri. APPRECIATE banget sama mykonos. tbh ini harganya lowprice banget gak sih utk kualitas sebagus ini 🥲",5
"Wangi openingnya lumayan enak seger kayak abis mandi, setelah beberapa menit wanginya uenak banget manis seger mantep, cuma drydownnya yaa so so ajaa tapi untuk harga 200 rb ini worth to buy, high value fragrance! Ketahanan : belum tau Lumayan seneng ada pengganti parfum favoritku dulu hmns alpha yang sekarang udah pasaran:(( terimakasih mykonos!",5
"Gak sia-sia PO, bonusnya mantep bngt mantap dah pokoknya.",5
"mantap mykonos,dapet saran dari mas ade setiawan kalo calirornia enak, eh bener mantappp👍👍👍👍",5
baunya sangat seger sekali dan dpt bonus parfum kecil,5
"proses cepat, pengiriman cepat, packing tebel, mantap",5
setelah di coba enak juga aromanya dan ada tambahan yg kecil parfumnya mantap min enak juga wangi nya,5
"kualitas dari packaging baik, wangi nya enak segar... recommended",5
ukuran 50 ml nya adalah awal muasal membeli yg 100 ml,5
"Pengiriman cepet banget, padahal keterangannya PO 30 hari. Wanginya sesuai dengan eskpektasi dari baca detail notesnya. Dalet bonus body spray pula. Mantap Mykonos!!",5
"Barangnya sampe dengan aman, kualitas nya oke banget, wangi nya beuh harum banget",5
wanginya tahan lama dan nyaman untuk harian,5
"wangi si, termasuk blind buy yang ngga gagal",5
