content,rating
"Wangi paling cocok buat aku Segernya Soft dan awet banget pke ini seharian Dapet tester OSTARA juga Makasih seller Pengiriman emang agak lama dikit sih , tapi its okay lah",5
"wanginya enak sweet gitu, tahan lama juga cuman kurang kecium aja, masih aman kok yang suka wangi sweet feminim cocok banget nih",5
kemasan luar agak penyok tapi terlindung bagian dalam. mantap packing aman. semoga isinya juga baik. terimakasih 🙏🏻dapat bonus juga,4
"Wanginya sesuai selera saya, lembut, mirip Bulgari Jasmine, cuma ga kuat seharian harumnya.. hanya setengah hari.. dan perlu disemprot rada banyak kalo mau tetep wangi seharian...sesuai harga lah",5
aroma seger mawarnya enak banget cocok dipakai daily dan buat ngantor,5
"pesan kemarin hari ini sampai, cepet banget, gak bs di cobain karena buat kado tp semoga enak wangi nya",5
"Suka banget sama wanginya, soft tapi berkesan banget, di tambah kemasannya mewah banget. terus dpaat sample yang wangi juga. Next mau order wangi yang di sample. Thank you Saff & Co",5
Paket diterima dalam kondisi baik. Blind buy produk ini karena penasaran wanginya dan overall aku suka! Terima kasih juga untuk decant Troupe nya! Produk masih tersegel dan packagingnya secantik itu dan berkonsep. Semoga nanti bisa repurchase lagi kalau ini awet wanginya 🙂,5
"2nd repurchase , i like smells , cocok buat santai, daily, i love this product",5
Wanginya suka banget... lembut seperti Jasmine... cuma kurang tahan lama jadi mesti semprot yang banyak kalau mau tahan lebih lama,5
Beli ini atas rekomendasi teman. Wanginya cocok. Good Seller dapat bonus,5
produk dipacking dengan baik. ga ada kebocoran. wanginya juga aku suka karena udh nge sniff duluan di offline store hahaha,5
"Wanginya manis, soft dan tahan lama. Thank you",5
Pengiriman cepat dan barang sesuai dengan yang ditawarkan.,5
Wanginya soft n feminim gituuu. Suka bgt. Terus belinya pas diskon jadi makin happy dapat harga murah 🤭🥰,5
"loui wangi banget enakkk, liat dari testi katanya bunga banget kaya kunti, TAPI ENGGA kokkk wangi bunga tapi haluss seger gituuu. Dapet tester solaris jugaa mantapp",5
"Packing bagus dan aman, untuk produknya awetnya wangi tahan lama, dapet bonusannya juga mantapss",5
"hal pertama yang aku notice adalh WAW packagingnya mevvvah banget coiii✨✨✨ rapii, aman dan sampenya cepettt banget. wangi jugaa kesukaan akuu mantappp terima kasihh saff n co",5
"Packingnya lucu bangett, pengiriman cepet ❤️‍🔥❤️‍🔥 free tester jugaa🙏🏻🙏🏻🙏🏻",5
"Udah punya 3 varian, kalo diurutin dari yg paling aku suka 1. Omnia 2. Loui 3. *** Pozas Aku gak terlalu paham perfume tapi aku cukup picky. Kalo kalian tipe yg sama kayak aku, suka wangi yg sweet tapi yg smooth and soft, powdery tapi tetep ada fresh nya, dan wanginya gak pasaran, harusnya kalian akan cocok sih dg pilihan top 3 aku ini. Saran aku sebelum beli full size, better u try decent or share in jar gitulah. Lebih enteng dikantong dan kalian bisa make sure wanginya cocok gak dg kalian. Saffnco adalah extrait perfume jadi ketahanannya jauh lebih nampol. Ketimbang EDP dan EDT. Dan Loui salah satu yg SPL nya oke bgt! Wanginya nempel meski kita keringetan. Aku udah pake ke kantor, olahraga, outdoor, dan wanginya masuk2 aja dan aman di hidung gak bikin puyeng. Semoga membantu 💚",5
"enak wanginya, tahan lama jugaa. udah nyobain dipake semaleman paginya masih wangi🫶🏽",5
"packaging aman, pengiriman cepat, sesuai",5
parfum SDH tiba toko online terpercaya terbaik,5
Udah kedua kali beli LOUI di sini. Sebelumnya yang mini. LOUI wanginya paling lembut dari semua produk SAFF & CO. Suka banget.,5
"Suka banget parfum saff & co yg varian Loui ini, wanginya enak dan tahan lama, kemarin coba yg mini, skrg beli yg kemasan besar 🥰",5
Barang sesuai pesanan Pengiriman cepat Paking super aman Terima kasih,5
Wanginya enaaaaaakkk.. soft.. 😍😍👌 Ga perlu sering” semprot juga awet koq wanginya cukup tahan lamaaa yagesyaaa.. 👍👌 Tengkyuuu SaffnCo.. 🙏🏻🥰,5
"floral, fresh, soft powdery. best kunti core loui 🫶🏼 udah repurchase 3x. thanks free sample-nya",5
Wangi banget parfumnya enak dan aku suka,5
"udah 2 tahun pakai ini dan akhirnya habis jadi harus repurchase. wanginya fresh dan cocok banget buat cuaca indo yg tropis panas dan lembab. buat cuaca dingin hujan jadi ga bikin apek. karena extrait jadi wanginya awet banget dari pagi sampai malam, kadang baju udah dicuci juga masih nempel wanginya. cocok buat daily activities kayak kerja atau hangout karena ga terlalu semerbak, buat olahraga juga jadi ga terlalu bau keringet. dapet bonusnya wangi coklat manis gitu kayaknya cocok buat formal-elegant events",5
"enak bangett wangi nya jujurr, pengiriman juga cepett dapet tester yang xocolatl ternyata enak bangett manis, tapi ga bikin enek. yang loui juga enak banget seger wangi wangi floral gitu😍",5
"Aman banget packingnya dan bagus sekali tampilan kontaknya mewah. awalnya beli yang tester loui dan suka, karena bikin tenang tiap ngendus sendiri. lalu dikasih tester iliad pas beli full 💕",5
"awal awal kurang cocok sama baunya. tapi sekarang udah suka. wanginya juga tahan lama, semprot pagi terus sampe sore masih kecium. kata temen, pas aku lewat baunya ikut semerbak. packagingnya juga bagus",5
"Suka banget sama ini produk. Entah udah pembelian ke berapa ini. 😁 Kualitas wangi (dibanding dengan pembelian sebelumnya cocok, engga ada perubahan yang signifikan) Botol model barunya juga saya suka (yang dulu sering kali mudah lepas setelah beberapa waktu). Diproses oleh sellernya cepat seperti biasa 👍🏻 Kemasan yang sekarang bagus (tapi kalo saya lebih suka yang model dulu) dan dipacking dengan baik juga. Kurirnya juga mantap, cepat, tepat dan aman sampai tujuan.",5
"Packagingnya cakep gilak. Setuju sih, tampilan parfum mahal. Wanginya enak tapi ternyata bukan scent yang saya banget. Terlalu floral. Bukan gak enak lo ya. Selera aja. Di saya mulai agak bisa diterima hidung setelah setengah jam semprot. Abis ini mau coba yg Chno. Dikasih sample dan suka wanginya. Makasih yaa",5
"Loui ini wanginya enak banget! Sempet nyoba ukuran kecilnya dan jatuh cinta sama wangi green floralnya yang unik dan dry down nya yang lembut. 1-2x semprot aja udah tahan seharian, jd awet. Terasa luxurious tapi nggak berlebihan. Cocok buat yang nggak suka parfum2 manis ataupun floral yg powdery. Tester saff nya juga enak banget. Lebih ke masculine yang seger dan gak nusuk hidung. Ini keren banget sih kalo dipake cowok. Great products, keep it up!",5
"Oke. Agak oily. Wanginya setrong di awal. Dry down seperti wangi sabun. Lumayan enak sih kalo udh beberapa menit. Pengiriman cepat, packaging baik.",5
"wanginya segar seperti buah-buahan, kualitas bagus, cocok untuk wanita dan juga pria",5
"wanginya enak dan awet diruang AC, seger, dapet free nya juga enak. Nunggu promo lagi baru cek out",5
"asekkk cepet sampenya,,, varian ini yg paling aku suka tahan lama, lumayan dpt sample kecil varian lain,, di bungkusnya rapi bgt, tq seller dan abang kurir, makasih",5
"Jujur baru pertama coba karena banyak yg rekomendasi parfum saff & co yang LOUI ini. Dan ternyata, cocok!! Aku suka banget baunya, seger floral gitu aaaa. Apalagi dpt harga yg murah dari harga aslinya! Makasih yaa saff & co, aku bakal terus co buat cobain varian lain hihihi 🤍",5
"kalo soal wangi ketahanan cocok atau engga kan kembali ke individunya aja. aku mau bahas pelayanan nya sih.. kalo setiap kita beli produknya kan suka dikasih tester ya yg notabebenya gratis, nah kemarin aku dapet tester coco tapi ternyata bocor/tempatnya pecah gt. laporan lah ke admin tokpednya, kata adminnya sekalipun tester mereka tanggung jawab asalkan ada video unboxing. dan dialihkan buat prnyelesaiannya via WA nya. jdnya next order aku bisa dapet tester 2 kata admin di wa. adminnya sat set sat set bgt sih luvvv. ditunggu varian barunya lagi 😻",5
"Louinya udh nyampe dng selamat aman. Pesen kemaren siang, td sore udh nyampe lg. Pengemasan jg cpt. Klo buat parfumnya sih gak ush ditanya lg, awet, wangi jg enak, fav bgt loui setelah 540. Makasih jg free samplenya dikasih ostara, sesuai harapan aq. Ostara jg enak wanginya lbh strong dr loui. 👍🏻",5
"wanginya fresh white floral bangett, awal semprot pasti yang kecium soft fresh floral, rose sama lily nya trs dry down nya dia slightly musky tp gak yang strong, pokoknya kl pake ini berasa cewek anggun feminim. buat aku yg suka manis sebenernya awal2 kek hmmm gt tp setelah dipake berkali2 wangi nya oke juga loh, dan di aku ketahanan nya 5 jam an sih. dikasih free las pozas, dan somehow aku lebih suka sm si las pozas nya ahahah",5
"Pengiriman cepat, packaging bagus. dapat harga flash sale juga. belom coba parfumnya. semoga cocok",5
"nice. agak strong di awal, soft di belakang",5
