content,rating
barang dikirim sesuai pesanan dan deskripsi. respon penjual baik dan cepat. dapat harga murah pas 11.11 packing aman dengan dus tebal gumawo kak,5
"Dus paket udah kayak pesen promo Geprek dari SAFF and Co.. isi partum untung kagak ngaruh.. yg bikin beli dan beli cuma 1 alasan, wanginya enak.. itu aja, kalo soal lainnya biasa aja, bahkan respon seller cenderung lama, lemot, dan terkesan acuh sm komplain konsumen",4
"Produk ini luar biasa! Desainnya modern dan praktis, cocok untuk penggunaan sehari-hari. Kualitas materialnya sangat terasa kokoh dan awet, sehingga memberikan nilai lebih bagi harga yang ditawarkan. Selain itu, produk ini juga mudah digunakan, dengan fitur yang intuitif dan fungsional. Sungguh pilihan tepat! Beli Yuk gais!!!!!!!!",5
"Awalnya coba ini yg versi mininya, ehh naksir dan suka sama wanginya. Feminim sekaliii, dapat free wangi lainnya juga. Packaging super aman❤️",5
"tahan lama poll sotb bukan kaleng kaleng,bonus parfum illad tapi bocor",5
wanginya tahan lama pengiriman jg cepet sampek beruntungnya lagi dpt harga promo dari toko pedia. dikasih bonus tester 👍,5
"Jasa Pengiriman yg buruk sekali, kardus diterima dlm keadaan jebol & rusak, untung kardusnya besar, wlpn ga pake bubblewarp tp terlindungi dan tdk pecah, btw dikasih bonus kemasan super mini, trmksh..",5
"beli tanpa coba langsung, ternyata aku gak suka wanginya. wangi tahan gak smp setengah hari (dipakai indoor outdoor). bagi yang suka wangi powdery fresh, bukan SOTB (krn wangi itu sangat personal ya). overall pengiriman aman dan ontime, packing baik,",5
"Terimkasih saff & tokopedia buat promo 10 ribu nya,keren banget masih di kasih vial parfum varian lain juga,packaging nya ok mewah, wangi aroma nya suka ga gampang ilang.",5
"Suka banget sama wanginya sotb, packaging nya juga cakep banget, exclusive. Plus dikasih sampel chno, makasih. chno juga enak si, dia wangi vanilla nya lebih kerasa dan kayak lebih cocok buat cowok.",5
Murah dan original. Recommended pokoknya. Sudah habis 2,5
"Sukaaaa sekali sama wanginya SOTB. Manis tapi ga giung. Tahan berjam-jam punnnn meski udah mandi. Packaging juara 💯💯 Pengirimannya juga super cepat. Dapet vial yang ostara, ternyata aku suka juga! Tipe yg manis floral seger gitu. Saff & co ternyata emang secanggih itu. Banggaaaa krn produk lokal makin kece 🥹🫶🏻🫶🏻",5
"dapet harga promo, pengiriman cepat, barang sesuai. mantap pokonya. dapet bonus juga yang travel size nya",5
"pertama liat di toko offline nya, wah yang varian S.O.T.B ini enak banget eeh ga sengaja liat pas promo di Toped.. gaaasss langsung.. pengemasan super aman, dikasih bonus juga.. thanks SAFF&Co.sukses terussss",5
Best deal bgt dpt harga flash sale + ada voucher dari seller dan tokped! Repurchase SOTB ini dh 3x karena sesuka itu sama aroma nya dan long lasting jg🥰,5
"Wanginya bisa tahan 8 jam dan Semberiwing, Mantap emang Saff🤩",5
"Saff n co emg ga pernah gagal, wanginya enak dan tahan seharian. Udah beli untuk kesekian kalinya",5
"seneng bgt akhirnya bisa kebeli juga ini parfum.. Gemass sekali di kasih free Solaris yg mini nya, terimakasih seller... sumpah ini wanginya awett bgttt bgtt lgsg coba di semprot di tangan udah di bawa cuci piring, ngepel keringetan juga tetep stay wangi nya. semoga bisa order lagi nanti kalau habis, karna emang lumayan si harganya hehe tapi love bgt🥰",5
Suka beli di online hehe Bisa dapat potongan harganyaa lumayan Tq ya min,5
sesuka itu sama produk parfum dari saff and coo deh semuanya gue udah punya. wangi dan tahan lama deh. apalagi ada bonusnya masya Allah.,5
"best parfume ever kalo buat sotb, beneran seenak itu dan awet bgt wanginya + dapet tester minouet dan ternyata enak juga wanginya",5
"wanginya enak, tempatnya bagus, suka sama varian saff and co",5
"sesuka itu sama SOTB ! wanginya tahan lama banget, nyemprot 2-3 semprot tahannya seharian dan masih stay di baju!! wanginya manis tapi masih soft banget, kek cewe calm",5
"Udah repurchase yg kedua kalinya, udah nyaman dg wanginya. Spt biasa packingan super cepat dan aman, dpt free smple chno, my other comfort perfume. Terima kasih saff&co",5
"Jatuh hati sama wangi SOTB, wanginya kalem dan tahan lama banget, dapet tester wangi ILIAD enak juga wanginya 😍",5
"Suka baget sama SOTB, sampe ngestock karna takut ntar habis gak bsa co lagi, thank you seller",5
