content,rating,processed_review
"review jujur: ga begitu suka parfum yg baunya manis tp ini msih enak sih buat gw. trus untuk tahan lamanya sekitar 4-5jam tp kalo disemprot ke pakaian lebih tahan lama. dan gatau knp ini masalah bahanya atau kulit gw, kalo si semprot ke area tekukan lengan sama leher rasanya panas dan ada ruam merah(tp ga parah dan bakal ilang rasa panasnya)",4,review jujur ga begitu suka parfum yg manis tp ini msih enak sih buat gw trus untuk tahan sekitar jam tp kalo semprot ke pakai lebih tahan lama dan gatau knp ini masalah atau kulit gw kalo si semprot ke area tekuk lengan sama leher panas dan ada ruam merahtp ga parah dan bakal ilang rasa
"seller nya responsive dan ramah, packaging nya bagus dan aman, barang diterima dalam kondisi baik. Wanginya lembut gak sampe nusuk ke hidung, tapi wanginya gak tahan lama. Terima kasih kak, sorry baru review sekarang.",4,seller responsive dan ramah packaging bagus dan aman barang terima dalam kondisi baik lembut gak sampe nusuk ke hidung tapi gak tahan lama terima kasih kak sorry baru review sekarang
"Sekali lagi, packaging keren. Untuk 1x semprot wanginya lumayan enak, 30 menit setelahnya lebih enak lagi. Tapi di kulitku ga tahan lama, kurang lebih cuma 3 jam udah ilang. Entah apa penyebabnya, karena ada testimoni lain katanya tahan 7 jam",4,sekali lagi packaging keren untuk x semprot lumayan enak menit lebih enak lagi tapi di kulit ga tahan lama kurang lebih cuma jam udah ilang entah apa karena ada testimoni lain tahan jam
aku sebenarnya ga begitu suka baunya. pas pertama kali itu pink pepper nya kerasa. terus lama2 vanillanya kerasa banget. tapi parfum nya tahan lama banget si. dan wanginya kecium bgt dr jauh. efeknya soft warm gitu.,4,aku ga begitu suka pas pertama kali itu pink pepper rasa terus lama rasa banget tapi parfum tahan lama banget si dan cium bgt dr jauh soft warm gitu
"Packing baik, produk masih baru dan tersegel dan dikasih 5ml tester produk baru hmns , yang paling utama parfume sesuai notes nya sweet vanilla",4,packing baik produk masih baru dan segel dan kasih ml tester produk baru hmns yang paling utama parfume sesuai notes sweet vanilla
"Bagus produknya, sekarang mau beli lagi yang ke dua, suka banget wanginya..",4,bagus sekarang mau beli lagi yang ke dua suka banget
Wanginya ternyata kurang cocok di aku. Tapi secara general wangi nya ok. Just a preference matter.,4,nyata kurang cocok di aku tapi cara general wangi ok just a preference matter
"suka wangi middle dan base notes-nya sprayer merata, ok. tutup botol ada magnetnya, joss. minus ada di longevity, jd harus sering² apply. disemprot di baju ga sampe 2 jam udah hilang baunya di outdoor. disemprot di bantal malem hari, paginya udah hilang. beda dgn merk sebelah yg bisa bertahan wanginya sampe seminggu lebih pas disemprot di bantal.",3,suka wangi middle dan base sprayer rata ok tutup botol ada joss minus ada di longevity jd harus sering apply semprot di baju ga sampe jam udah hilang di outdoor semprot di bantal malem hari udah hilang beda dgn merk belah yg bisa tahan sampe minggu lebih pas semprot di bantal
"Untuk parfumnya sesuai dengan ekspetasi, kemasan botolnya unik karna ditutup botolnya pakai magnet dan cuma mau kasih saran untuk kurir pengiriman. Kalo bisa masih ada opsi kurir lain selain sicepat. Overall masih oke",4,untuk sesuai dengan ekspetasi kemas unik karna tutup pakai magnet dan cuma mau kasih saran untuk kurir kirim kalo bisa masih ada opsi kurir lain selain sicepat overall masih oke
"Wangi dan packaging oke, sesuai dengan starter pack, wangi yg menonjol di vanilla nya banget dan sesuai harapan. Cuman dikasih bintang 4 karena botolnya gak terlalu rapat masih ada bocor/leaking sedikit, mau claim garansi cuman buang” waktu karena cuman sedikit bocornya. Mungkin bisa jadi masukan team QC untuk orderan selanjutnya",4,wangi dan packaging oke sesuai dengan starter pack wangi yg tonjol di vanilla banget dan sesuai harap cuman kasih bintang karena gak terlalu rapat masih ada bocorleaking sedikit mau claim garansi cuman buang  waktu karena cuman sedikit mungkin bisa jadi masuk team qc untuk order
"sebenarnya produknya ga ada yang salah cuman aku aja yang terlalu berekpektasi tinggi sm wanginya krn banyak banget yang bilang enak, tapi di aku ini terlalu manis, bukan wangiku banget, padahal aku suka wangi manis vanila tapi wkt cium ini ntahlah gatau knp gabisa sesuka itu.. untuk semuanya overall oke",4,ga ada yang salah cuman aku aja yang terlalu berekpektasi tinggi sm krn banyak banget yang bilang enak tapi di aku ini terlalu manis bukan wangi banget padahal aku suka wangi manis vanila tapi wkt cium ini ntahlah gatau knp gabisa suka itu untuk overall oke
"Pertama beli tapi lepas segel box agak kotor juga😓 , positif thinking aja mungkin mau masukin voucher ya kali yaa",4,pertama beli tapi lepas segel box agak kotor juga downcastfacewithsweat positif thinking aja mungkin mau masukin voucher ya kali yaa
"Ada bocor, tapi ya cuma dikit sih. Tapi semoga jadi perbaikan di kemudian hari",4,ada bocor tapi ya cuma dikit sih tapi moga jadi baik di kemudian hari
"suka sama aroma nya , rapi maaf kasih rating nya gak sampe 5 soal nya belum tau tahan lama atau nggak",4,suka sama aroma rapi maaf kasih rating gak sampe soal belum tau tahan lama atau nggak
